ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000004776.5,ENSG00000004776,HSPB6,protein_coding,ENSG00000004776.5 (HSPB6)
ENSG00000004777.10,ENSG00000004777,ARHGAP33,protein_coding,ENSG00000004777.10 (ARHGAP33)
ENSG00000005007.7,ENSG00000005007,UPF1,protein_coding,ENSG00000005007.7 (UPF1)
ENSG00000005206.9,ENSG00000005206,SPPL2B,protein_coding,ENSG00000005206.9 (SPPL2B)
ENSG00000006015.12,ENSG00000006015,C19orf60,protein_coding,ENSG00000006015.12 (C19orf60)
ENSG00000006638.6,ENSG00000006638,TBXA2R,protein_coding,ENSG00000006638.6 (TBXA2R)
ENSG00000006659.7,ENSG00000006659,LGALS14,protein_coding,ENSG00000006659.7 (LGALS14)
ENSG00000006712.9,ENSG00000006712,PAF1,protein_coding,ENSG00000006712.9 (PAF1)
ENSG00000007047.8,ENSG00000007047,MARK4,protein_coding,ENSG00000007047.8 (MARK4)
ENSG00000007080.5,ENSG00000007080,CCDC124,protein_coding,ENSG00000007080.5 (CCDC124)
ENSG00000007129.10,ENSG00000007129,CEACAM21,protein_coding,ENSG00000007129.10 (CEACAM21)
ENSG00000007255.5,ENSG00000007255,TRAPPC6A,protein_coding,ENSG00000007255.5 (TRAPPC6A)
ENSG00000007264.8,ENSG00000007264,MATK,protein_coding,ENSG00000007264.8 (MATK)
ENSG00000008382.10,ENSG00000008382,MPND,protein_coding,ENSG00000008382.10 (MPND)
ENSG00000008441.10,ENSG00000008441,NFIX,protein_coding,ENSG00000008441.10 (NFIX)
ENSG00000010310.3,ENSG00000010310,GIPR,protein_coding,ENSG00000010310.3 (GIPR)
ENSG00000010361.7,ENSG00000010361,FUZ,protein_coding,ENSG00000010361.7 (FUZ)
ENSG00000011132.6,ENSG00000011132,APBA3,protein_coding,ENSG00000011132.6 (APBA3)
ENSG00000011243.10,ENSG00000011243,AKAP8L,protein_coding,ENSG00000011243.10 (AKAP8L)
