ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000002549.7,ENSG00000002549,LAP3,protein_coding,ENSG00000002549.7 (LAP3)
ENSG00000002587.5,ENSG00000002587,HS3ST1,protein_coding,ENSG00000002587.5 (HS3ST1)
ENSG00000004468.6,ENSG00000004468,CD38,protein_coding,ENSG00000004468.6 (CD38)
ENSG00000005059.11,ENSG00000005059,CCDC109B,protein_coding,ENSG00000005059.11 (CCDC109B)
ENSG00000007062.7,ENSG00000007062,PROM1,protein_coding,ENSG00000007062.7 (PROM1)
ENSG00000013288.4,ENSG00000013288,MAN2B2,protein_coding,ENSG00000013288.4 (MAN2B2)
ENSG00000013810.13,ENSG00000013810,TACC3,protein_coding,ENSG00000013810.13 (TACC3)
ENSG00000014824.7,ENSG00000014824,SLC30A9,protein_coding,ENSG00000014824.7 (SLC30A9)
ENSG00000018189.7,ENSG00000018189,RUFY3,protein_coding,ENSG00000018189.7 (RUFY3)
ENSG00000033178.7,ENSG00000033178,UBA6,protein_coding,ENSG00000033178.7 (UBA6)
ENSG00000035720.3,ENSG00000035720,STAP1,protein_coding,ENSG00000035720.3 (STAP1)
ENSG00000035928.10,ENSG00000035928,RFC1,protein_coding,ENSG00000035928.10 (RFC1)
ENSG00000038002.4,ENSG00000038002,AGA,protein_coding,ENSG00000038002.4 (AGA)
ENSG00000038210.8,ENSG00000038210,PI4K2B,protein_coding,ENSG00000038210.8 (PI4K2B)
ENSG00000038219.8,ENSG00000038219,BOD1L1,protein_coding,ENSG00000038219.8 (BOD1L1)
ENSG00000047315.10,ENSG00000047315,POLR2B,protein_coding,ENSG00000047315.10 (POLR2B)
ENSG00000047365.6,ENSG00000047365,ARAP2,protein_coding,ENSG00000047365.6 (ARAP2)
ENSG00000047662.4,ENSG00000047662,FAM184B,protein_coding,ENSG00000047662.4 (FAM184B)
ENSG00000048342.10,ENSG00000048342,CC2D2A,protein_coding,ENSG00000048342.10 (CC2D2A)
ENSG00000050730.11,ENSG00000050730,TNIP3,protein_coding,ENSG00000050730.11 (TNIP3)
ENSG00000052795.8,ENSG00000052795,FNIP2,protein_coding,ENSG00000052795.8 (FNIP2)
ENSG00000052802.8,ENSG00000052802,MSMO1,protein_coding,ENSG00000052802.8 (MSMO1)
ENSG00000053900.6,ENSG00000053900,ANAPC4,protein_coding,ENSG00000053900.6 (ANAPC4)
