ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000002330.8,ENSG00000002330,BAD,protein_coding,ENSG00000002330.8 (BAD)
ENSG00000005801.11,ENSG00000005801,ZNF195,protein_coding,ENSG00000005801.11 (ZNF195)
ENSG00000006118.10,ENSG00000006118,TMEM132A,protein_coding,ENSG00000006118.10 (TMEM132A)
ENSG00000006534.11,ENSG00000006534,ALDH3B1,protein_coding,ENSG00000006534.11 (ALDH3B1)
ENSG00000007372.14,ENSG00000007372,PAX6,protein_coding,ENSG00000007372.14 (PAX6)
ENSG00000011405.8,ENSG00000011405,PIK3C2A,protein_coding,ENSG00000011405.8 (PIK3C2A)
ENSG00000013725.10,ENSG00000013725,CD6,protein_coding,ENSG00000013725.10 (CD6)
ENSG00000014138.4,ENSG00000014138,POLA2,protein_coding,ENSG00000014138.4 (POLA2)
ENSG00000014216.9,ENSG00000014216,CAPN1,protein_coding,ENSG00000014216.9 (CAPN1)
ENSG00000019102.7,ENSG00000019102,VSIG2,protein_coding,ENSG00000019102.7 (VSIG2)
ENSG00000019144.11,ENSG00000019144,PHLDB1,protein_coding,ENSG00000019144.11 (PHLDB1)
ENSG00000019485.8,ENSG00000019485,PRDM11,protein_coding,ENSG00000019485.8 (PRDM11)
ENSG00000020922.7,ENSG00000020922,MRE11A,protein_coding,ENSG00000020922.7 (MRE11A)
ENSG00000021300.7,ENSG00000021300,PLEKHB1,protein_coding,ENSG00000021300.7 (PLEKHB1)
ENSG00000023171.9,ENSG00000023171,GRAMD1B,protein_coding,ENSG00000023171.9 (GRAMD1B)
ENSG00000023191.11,ENSG00000023191,RNH1,protein_coding,ENSG00000023191.11 (RNH1)
ENSG00000023445.8,ENSG00000023445,BIRC3,protein_coding,ENSG00000023445.8 (BIRC3)
ENSG00000025434.14,ENSG00000025434,NR1H3,protein_coding,ENSG00000025434.14 (NR1H3)
ENSG00000026508.11,ENSG00000026508,CD44,protein_coding,ENSG00000026508.11 (CD44)
ENSG00000030066.8,ENSG00000030066,NUP160,protein_coding,ENSG00000030066.8 (NUP160)
ENSG00000033327.8,ENSG00000033327,GAB2,protein_coding,ENSG00000033327.8 (GAB2)
ENSG00000036672.9,ENSG00000036672,USP2,protein_coding,ENSG00000036672.9 (USP2)
ENSG00000042429.5,ENSG00000042429,MED17,protein_coding,ENSG00000042429.5 (MED17)
ENSG00000043039.4,ENSG00000043039,BARX2,protein_coding,ENSG00000043039.4 (BARX2)
ENSG00000048028.7,ENSG00000048028,USP28,protein_coding,ENSG00000048028.7 (USP28)
ENSG00000048649.9,ENSG00000048649,RSF1,protein_coding,ENSG00000048649.9 (RSF1)
ENSG00000049449.3,ENSG00000049449,RCN1,protein_coding,ENSG00000049449.3 (RCN1)
ENSG00000050165.12,ENSG00000050165,DKK3,protein_coding,ENSG00000050165.12 (DKK3)
ENSG00000051009.5,ENSG00000051009,FAM160A2,protein_coding,ENSG00000051009.5 (FAM160A2)
ENSG00000052841.9,ENSG00000052841,TTC17,protein_coding,ENSG00000052841.9 (TTC17)
ENSG00000053918.10,ENSG00000053918,KCNQ1,protein_coding,ENSG00000053918.10 (KCNQ1)
ENSG00000054965.6,ENSG00000054965,FAM168A,protein_coding,ENSG00000054965.6 (FAM168A)
ENSG00000054967.7,ENSG00000054967,RELT,protein_coding,ENSG00000054967.7 (RELT)
ENSG00000060749.9,ENSG00000060749,QSER1,protein_coding,ENSG00000060749.9 (QSER1)
ENSG00000062282.8,ENSG00000062282,DGAT2,protein_coding,ENSG00000062282.8 (DGAT2)
ENSG00000064199.2,ENSG00000064199,SPA17,protein_coding,ENSG00000064199.2 (SPA17)
