ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000005238.13,ENSG00000005238,FAM214B,protein_coding,ENSG00000005238.13 (FAM214B)
ENSG00000011454.11,ENSG00000011454,RABGAP1,protein_coding,ENSG00000011454.11 (RABGAP1)
ENSG00000023318.7,ENSG00000023318,ERP44,protein_coding,ENSG00000023318.7 (ERP44)
ENSG00000041982.9,ENSG00000041982,TNC,protein_coding,ENSG00000041982.9 (TNC)
ENSG00000044459.9,ENSG00000044459,CNTLN,protein_coding,ENSG00000044459.9 (CNTLN)
ENSG00000044574.6,ENSG00000044574,HSPA5,protein_coding,ENSG00000044574.6 (HSPA5)
ENSG00000048828.11,ENSG00000048828,FAM120A,protein_coding,ENSG00000048828.11 (FAM120A)
ENSG00000054148.13,ENSG00000054148,PHPT1,protein_coding,ENSG00000054148.13 (PHPT1)
ENSG00000054179.6,ENSG00000054179,ENTPD2,protein_coding,ENSG00000054179.6 (ENTPD2)
ENSG00000056558.6,ENSG00000056558,TRAF1,protein_coding,ENSG00000056558.6 (TRAF1)
ENSG00000056586.10,ENSG00000056586,RC3H2,protein_coding,ENSG00000056586.10 (RC3H2)
ENSG00000059769.15,ENSG00000059769,DNAJC25,protein_coding,ENSG00000059769.15 (DNAJC25)
ENSG00000066697.10,ENSG00000066697,MSANTD3,protein_coding,ENSG00000066697.10 (MSANTD3)
ENSG00000070061.10,ENSG00000070061,IKBKAP,protein_coding,ENSG00000070061.10 (IKBKAP)
ENSG00000070159.7,ENSG00000070159,PTPN3,protein_coding,ENSG00000070159.7 (PTPN3)
ENSG00000070214.10,ENSG00000070214,SLC44A1,protein_coding,ENSG00000070214.10 (SLC44A1)
ENSG00000070601.5,ENSG00000070601,FRMPD1,protein_coding,ENSG00000070601.5 (FRMPD1)
ENSG00000070610.10,ENSG00000070610,GBA2,protein_coding,ENSG00000070610.10 (GBA2)
ENSG00000080298.10,ENSG00000080298,RFX3,protein_coding,ENSG00000080298.10 (RFX3)
ENSG00000080503.14,ENSG00000080503,SMARCA2,protein_coding,ENSG00000080503.14 (SMARCA2)
ENSG00000080608.8,ENSG00000080608,KIAA0020,protein_coding,ENSG00000080608.8 (KIAA0020)
ENSG00000081377.12,ENSG00000081377,CDC14B,protein_coding,ENSG00000081377.12 (CDC14B)
ENSG00000081386.8,ENSG00000081386,ZNF510,protein_coding,ENSG00000081386.8 (ZNF510)
ENSG00000083223.12,ENSG00000083223,ZCCHC6,protein_coding,ENSG00000083223.12 (ZCCHC6)
ENSG00000086061.10,ENSG00000086061,DNAJA1,protein_coding,ENSG00000086061.10 (DNAJA1)
ENSG00000086062.7,ENSG00000086062,B4GALT1,protein_coding,ENSG00000086062.7 (B4GALT1)
ENSG00000086065.8,ENSG00000086065,CHMP5,protein_coding,ENSG00000086065.8 (CHMP5)
ENSG00000086102.13,ENSG00000086102,NFX1,protein_coding,ENSG00000086102.13 (NFX1)
ENSG00000090054.8,ENSG00000090054,SPTLC1,protein_coding,ENSG00000090054.8 (SPTLC1)
ENSG00000095203.8,ENSG00000095203,EPB41L4B,protein_coding,ENSG00000095203.8 (EPB41L4B)
