ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000001036.8,ENSG00000001036,FUCA2,protein_coding,ENSG00000001036.8 (FUCA2)
ENSG00000001084.6,ENSG00000001084,GCLC,protein_coding,ENSG00000001084.6 (GCLC)
ENSG00000001167.10,ENSG00000001167,NFYA,protein_coding,ENSG00000001167.10 (NFYA)
ENSG00000001561.5,ENSG00000001561,ENPP4,protein_coding,ENSG00000001561.5 (ENPP4)
ENSG00000005700.10,ENSG00000005700,IBTK,protein_coding,ENSG00000005700.10 (IBTK)
ENSG00000007866.13,ENSG00000007866,TEAD3,protein_coding,ENSG00000007866.13 (TEAD3)
ENSG00000007944.10,ENSG00000007944,MYLIP,protein_coding,ENSG00000007944.10 (MYLIP)
ENSG00000008018.7,ENSG00000008018,PSMB1,protein_coding,ENSG00000008018.7 (PSMB1)
ENSG00000008083.8,ENSG00000008083,JARID2,protein_coding,ENSG00000008083.8 (JARID2)
ENSG00000009413.10,ENSG00000009413,REV3L,protein_coding,ENSG00000009413.10 (REV3L)
ENSG00000009844.9,ENSG00000009844,VTA1,protein_coding,ENSG00000009844.9 (VTA1)
ENSG00000010017.8,ENSG00000010017,RANBP9,protein_coding,ENSG00000010017.8 (RANBP9)
ENSG00000010030.9,ENSG00000010030,ETV7,protein_coding,ENSG00000010030.9 (ETV7)
ENSG00000010704.13,ENSG00000010704,HFE,protein_coding,ENSG00000010704.13 (HFE)
ENSG00000010810.11,ENSG00000010810,FYN,protein_coding,ENSG00000010810.11 (FYN)
ENSG00000010818.4,ENSG00000010818,HIVEP2,protein_coding,ENSG00000010818.4 (HIVEP2)
ENSG00000012660.9,ENSG00000012660,ELOVL5,protein_coding,ENSG00000012660.9 (ELOVL5)
ENSG00000013375.9,ENSG00000013375,PGM3,protein_coding,ENSG00000013375.9 (PGM3)
ENSG00000013392.5,ENSG00000013392,RWDD2A,protein_coding,ENSG00000013392.5 (RWDD2A)
ENSG00000014123.9,ENSG00000014123,UFL1,protein_coding,ENSG00000014123.9 (UFL1)
ENSG00000021355.7,ENSG00000021355,SERPINB1,protein_coding,ENSG00000021355.7 (SERPINB1)
ENSG00000023892.8,ENSG00000023892,DEF6,protein_coding,ENSG00000023892.8 (DEF6)
ENSG00000024048.6,ENSG00000024048,UBR2,protein_coding,ENSG00000024048.6 (UBR2)
ENSG00000024862.11,ENSG00000024862,CCDC28A,protein_coding,ENSG00000024862.11 (CCDC28A)
ENSG00000025039.9,ENSG00000025039,RRAGD,protein_coding,ENSG00000025039.9 (RRAGD)
ENSG00000025156.7,ENSG00000025156,HSF2,protein_coding,ENSG00000025156.7 (HSF2)
ENSG00000025796.8,ENSG00000025796,SEC63,protein_coding,ENSG00000025796.8 (SEC63)
ENSG00000026297.10,ENSG00000026297,RNASET2,protein_coding,ENSG00000026297.10 (RNASET2)
ENSG00000026652.9,ENSG00000026652,AGPAT4,protein_coding,ENSG00000026652.9 (AGPAT4)
ENSG00000026950.12,ENSG00000026950,BTN3A1,protein_coding,ENSG00000026950.12 (BTN3A1)
ENSG00000027697.7,ENSG00000027697,IFNGR1,protein_coding,ENSG00000027697.7 (IFNGR1)
ENSG00000028839.4,ENSG00000028839,TBPL1,protein_coding,ENSG00000028839.4 (TBPL1)
ENSG00000029363.11,ENSG00000029363,BCLAF1,protein_coding,ENSG00000029363.11 (BCLAF1)
ENSG00000029639.6,ENSG00000029639,TFB1M,protein_coding,ENSG00000029639.6 (TFB1M)
ENSG00000030110.7,ENSG00000030110,BAK1,protein_coding,ENSG00000030110.7 (BAK1)
ENSG00000031691.5,ENSG00000031691,CENPQ,protein_coding,ENSG00000031691.5 (CENPQ)
ENSG00000034693.8,ENSG00000034693,PEX3,protein_coding,ENSG00000034693.8 (PEX3)
ENSG00000044090.4,ENSG00000044090,CUL7,protein_coding,ENSG00000044090.4 (CUL7)
ENSG00000047579.13,ENSG00000047579,DTNBP1,protein_coding,ENSG00000047579.13 (DTNBP1)
ENSG00000047932.9,ENSG00000047932,GOPC,protein_coding,ENSG00000047932.9 (GOPC)
ENSG00000048544.5,ENSG00000048544,MRPS10,protein_coding,ENSG00000048544.5 (MRPS10)
ENSG00000049618.14,ENSG00000049618,ARID1B,protein_coding,ENSG00000049618.14 (ARID1B)
ENSG00000050393.6,ENSG00000050393,MCUR1,protein_coding,ENSG00000050393.6 (MCUR1)
ENSG00000051620.5,ENSG00000051620,HEBP2,protein_coding,ENSG00000051620.5 (HEBP2)
ENSG00000054598.4,ENSG00000054598,FOXC1,protein_coding,ENSG00000054598.4 (FOXC1)
ENSG00000055208.12,ENSG00000055208,TAB2,protein_coding,ENSG00000055208.12 (TAB2)
ENSG00000055211.7,ENSG00000055211,GINM1,protein_coding,ENSG00000055211.7 (GINM1)
