ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000006837.6,ENSG00000006837,CDKL3,protein_coding,ENSG00000006837.6 (CDKL3)
ENSG00000011083.4,ENSG00000011083,SLC6A7,protein_coding,ENSG00000011083.4 (SLC6A7)
ENSG00000013561.13,ENSG00000013561,RNF14,protein_coding,ENSG00000013561.13 (RNF14)
ENSG00000015479.12,ENSG00000015479,MATR3,protein_coding,ENSG00000015479.12 (MATR3)
ENSG00000019582.10,ENSG00000019582,CD74,protein_coding,ENSG00000019582.10 (CD74)
ENSG00000027847.8,ENSG00000027847,B4GALT7,protein_coding,ENSG00000027847.8 (B4GALT7)
ENSG00000028310.12,ENSG00000028310,BRD9,protein_coding,ENSG00000028310.12 (BRD9)
ENSG00000031003.6,ENSG00000031003,FAM13B,protein_coding,ENSG00000031003.6 (FAM13B)
ENSG00000035499.8,ENSG00000035499,DEPDC1B,protein_coding,ENSG00000035499.8 (DEPDC1B)
ENSG00000037241.3,ENSG00000037241,RPL26L1,protein_coding,ENSG00000037241.3 (RPL26L1)
ENSG00000037280.10,ENSG00000037280,FLT4,protein_coding,ENSG00000037280.10 (FLT4)
ENSG00000037474.10,ENSG00000037474,NSUN2,protein_coding,ENSG00000037474.10 (NSUN2)
ENSG00000037749.7,ENSG00000037749,MFAP3,protein_coding,ENSG00000037749.7 (MFAP3)
ENSG00000038274.10,ENSG00000038274,MAT2B,protein_coding,ENSG00000038274.10 (MAT2B)
ENSG00000038382.12,ENSG00000038382,TRIO,protein_coding,ENSG00000038382.12 (TRIO)
ENSG00000038427.11,ENSG00000038427,VCAN,protein_coding,ENSG00000038427.11 (VCAN)
ENSG00000039123.11,ENSG00000039123,SKIV2L2,protein_coding,ENSG00000039123.11 (SKIV2L2)
ENSG00000039319.12,ENSG00000039319,ZFYVE16,protein_coding,ENSG00000039319.12 (ZFYVE16)
ENSG00000039560.9,ENSG00000039560,RAI14,protein_coding,ENSG00000039560.9 (RAI14)
ENSG00000039600.6,ENSG00000039600,SOX30,protein_coding,ENSG00000039600.6 (SOX30)
ENSG00000040275.11,ENSG00000040275,SPDL1,protein_coding,ENSG00000040275.11 (SPDL1)
ENSG00000043143.14,ENSG00000043143,JADE2,protein_coding,ENSG00000043143.14 (JADE2)
ENSG00000043462.7,ENSG00000043462,LCP2,protein_coding,ENSG00000043462.7 (LCP2)
ENSG00000044115.14,ENSG00000044115,CTNNA1,protein_coding,ENSG00000044115.14 (CTNNA1)
ENSG00000047188.10,ENSG00000047188,YTHDC2,protein_coding,ENSG00000047188.10 (YTHDC2)
ENSG00000048140.13,ENSG00000048140,TSPAN17,protein_coding,ENSG00000048140.13 (TSPAN17)
ENSG00000048162.14,ENSG00000048162,NOP16,protein_coding,ENSG00000048162.14 (NOP16)
ENSG00000049167.8,ENSG00000049167,ERCC8,protein_coding,ENSG00000049167.8 (ERCC8)
ENSG00000049192.9,ENSG00000049192,ADAMTS6,protein_coding,ENSG00000049192.9 (ADAMTS6)
ENSG00000049656.9,ENSG00000049656,CLPTM1L,protein_coding,ENSG00000049656.9 (CLPTM1L)
ENSG00000049860.9,ENSG00000049860,HEXB,protein_coding,ENSG00000049860.9 (HEXB)
ENSG00000049883.9,ENSG00000049883,PTCD2,protein_coding,ENSG00000049883.9 (PTCD2)
ENSG00000050748.12,ENSG00000050748,MAPK9,protein_coding,ENSG00000050748.12 (MAPK9)
ENSG00000050767.11,ENSG00000050767,COL23A1,protein_coding,ENSG00000050767.11 (COL23A1)
ENSG00000051596.5,ENSG00000051596,THOC3,protein_coding,ENSG00000051596.5 (THOC3)
ENSG00000053108.11,ENSG00000053108,FSTL4,protein_coding,ENSG00000053108.11 (FSTL4)
ENSG00000055147.12,ENSG00000055147,FAM114A2,protein_coding,ENSG00000055147.12 (FAM114A2)
ENSG00000055163.14,ENSG00000055163,CYFIP2,protein_coding,ENSG00000055163.14 (CYFIP2)
ENSG00000056097.10,ENSG00000056097,ZFR,protein_coding,ENSG00000056097.10 (ZFR)
ENSG00000058729.6,ENSG00000058729,RIOK2,protein_coding,ENSG00000058729.6 (RIOK2)
ENSG00000062194.10,ENSG00000062194,GPBP1,protein_coding,ENSG00000062194.10 (GPBP1)
ENSG00000063438.12,ENSG00000063438,AHRR,protein_coding,ENSG00000063438.12 (AHRR)
ENSG00000064651.9,ENSG00000064651,SLC12A2,protein_coding,ENSG00000064651.9 (SLC12A2)
ENSG00000064652.6,ENSG00000064652,SNX24,protein_coding,ENSG00000064652.6 (SNX24)
ENSG00000064692.12,ENSG00000064692,SNCAIP,protein_coding,ENSG00000064692.12 (SNCAIP)
ENSG00000066230.6,ENSG00000066230,SLC9A3,protein_coding,ENSG00000066230.6 (SLC9A3)
ENSG00000066583.6,ENSG00000066583,ISOC1,protein_coding,ENSG00000066583.6 (ISOC1)
ENSG00000067113.12,ENSG00000067113,PPAP2A,protein_coding,ENSG00000067113.12 (PPAP2A)
ENSG00000067248.5,ENSG00000067248,DHX29,protein_coding,ENSG00000067248.5 (DHX29)
ENSG00000068796.11,ENSG00000068796,KIF2A,protein_coding,ENSG00000068796.11 (KIF2A)
ENSG00000069011.10,ENSG00000069011,PITX1,protein_coding,ENSG00000069011.10 (PITX1)
ENSG00000069020.12,ENSG00000069020,MAST4,protein_coding,ENSG00000069020.12 (MAST4)
ENSG00000070614.9,ENSG00000070614,NDST1,protein_coding,ENSG00000070614.9 (NDST1)
ENSG00000070814.12,ENSG00000070814,TCOF1,protein_coding,ENSG00000070814.12 (TCOF1)
ENSG00000071539.8,ENSG00000071539,TRIP13,protein_coding,ENSG00000071539.8 (TRIP13)
ENSG00000072364.8,ENSG00000072364,AFF4,protein_coding,ENSG00000072364.8 (AFF4)
ENSG00000072571.13,ENSG00000072571,HMMR,protein_coding,ENSG00000072571.13 (HMMR)
ENSG00000072682.12,ENSG00000072682,P4HA2,protein_coding,ENSG00000072682.12 (P4HA2)
ENSG00000072786.7,ENSG00000072786,STK10,protein_coding,ENSG00000072786.7 (STK10)
ENSG00000072803.13,ENSG00000072803,FBXW11,protein_coding,ENSG00000072803.13 (FBXW11)
ENSG00000073578.10,ENSG00000073578,SDHA,protein_coding,ENSG00000073578.10 (SDHA)
ENSG00000074276.6,ENSG00000074276,CDHR2,protein_coding,ENSG00000074276.6 (CDHR2)
ENSG00000074317.6,ENSG00000074317,SNCB,protein_coding,ENSG00000074317.6 (SNCB)
ENSG00000078295.10,ENSG00000078295,ADCY2,protein_coding,ENSG00000078295.10 (ADCY2)
ENSG00000078795.12,ENSG00000078795,PKD2L2,protein_coding,ENSG00000078795.12 (PKD2L2)
