ensembl_version_id,GENEID,SYMBOL,GENEBIOTYPE,INPUT
ENSG00000002016.11,ENSG00000002016,RAD52,protein_coding,ENSG00000002016.11 (RAD52)
ENSG00000003056.3,ENSG00000003056,M6PR,protein_coding,ENSG00000003056.3 (M6PR)
ENSG00000004478.5,ENSG00000004478,FKBP4,protein_coding,ENSG00000004478.5 (FKBP4)
ENSG00000004700.11,ENSG00000004700,RECQL,protein_coding,ENSG00000004700.11 (RECQL)
ENSG00000005175.5,ENSG00000005175,RPAP3,protein_coding,ENSG00000005175.5 (RPAP3)
ENSG00000006831.9,ENSG00000006831,ADIPOR2,protein_coding,ENSG00000006831.9 (ADIPOR2)
ENSG00000008323.11,ENSG00000008323,PLEKHG6,protein_coding,ENSG00000008323.11 (PLEKHG6)
ENSG00000008394.7,ENSG00000008394,MGST1,protein_coding,ENSG00000008394.7 (MGST1)
ENSG00000008405.6,ENSG00000008405,CRY1,protein_coding,ENSG00000008405.6 (CRY1)
ENSG00000010219.8,ENSG00000010219,DYRK4,protein_coding,ENSG00000010219.8 (DYRK4)
ENSG00000010278.6,ENSG00000010278,CD9,protein_coding,ENSG00000010278.6 (CD9)
ENSG00000010292.7,ENSG00000010292,NCAPD2,protein_coding,ENSG00000010292.7 (NCAPD2)
ENSG00000010295.13,ENSG00000010295,IFFO1,protein_coding,ENSG00000010295.13 (IFFO1)
ENSG00000010379.10,ENSG00000010379,SLC6A13,protein_coding,ENSG00000010379.10 (SLC6A13)
ENSG00000010610.5,ENSG00000010610,CD4,protein_coding,ENSG00000010610.5 (CD4)
ENSG00000010626.10,ENSG00000010626,LRRC23,protein_coding,ENSG00000010626.10 (LRRC23)
ENSG00000011105.7,ENSG00000011105,TSPAN9,protein_coding,ENSG00000011105.7 (TSPAN9)
ENSG00000012504.9,ENSG00000012504,NR1H4,protein_coding,ENSG00000012504.9 (NR1H4)
ENSG00000012822.9,ENSG00000012822,CALCOCO1,protein_coding,ENSG00000012822.9 (CALCOCO1)
ENSG00000013503.4,ENSG00000013503,POLR3B,protein_coding,ENSG00000013503.4 (POLR3B)
ENSG00000013573.11,ENSG00000013573,DDX11,protein_coding,ENSG00000013573.11 (DDX11)
ENSG00000013583.4,ENSG00000013583,HEBP1,protein_coding,ENSG00000013583.4 (HEBP1)
ENSG00000013588.5,ENSG00000013588,GPRC5A,protein_coding,ENSG00000013588.5 (GPRC5A)
ENSG00000015153.10,ENSG00000015153,YAF2,protein_coding,ENSG00000015153.10 (YAF2)
ENSG00000017427.11,ENSG00000017427,IGF1,protein_coding,ENSG00000017427.11 (IGF1)
ENSG00000022840.9,ENSG00000022840,RNF10,protein_coding,ENSG00000022840.9 (RNF10)
ENSG00000023697.8,ENSG00000023697,DERA,protein_coding,ENSG00000023697.8 (DERA)
ENSG00000023734.6,ENSG00000023734,STRAP,protein_coding,ENSG00000023734.6 (STRAP)
ENSG00000025423.7,ENSG00000025423,HSD17B6,protein_coding,ENSG00000025423.7 (HSD17B6)
ENSG00000028203.12,ENSG00000028203,VEZT,protein_coding,ENSG00000028203.12 (VEZT)
