ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,1,NA,65326,0.9488,0.0542,0.0952,0.9956866310160428,0.30896751269035533
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,2,NA,36953,0.7672,0.2252,0.444,0.9956866310160428,0.5158641434262947
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,3,NA,28951,0.5114,0.4946,0.9876,0.9956866310160428,0.6304606129398411
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,1,NA,73824.5,0.1826,0.8118,0.3724,0.9956866310160428,0.8333193784277879
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,2,NA,38753,0.8644,0.1354,0.2988,0.9956866310160428,0.4184328767123288
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,3,NA,30488.5,0.2734,0.7208,0.5532,0.9956866310160428,0.7622018832391714
Enhancer,Slice Stability,Jonckheere-Terpstra Test,1,NA,73522.5,0.1538,0.848,0.3028,0.9956866310160428,0.8625942028985506
Enhancer,Slice Stability,Jonckheere-Terpstra Test,2,NA,39847,0.3068,0.6896,0.588,0.9956866310160428,0.7462865125240847
Enhancer,Slice Stability,Jonckheere-Terpstra Test,3,NA,31354.5,0.023,0.9778,0.04,0.9956866310160428,0.9812952636282394
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,1,NA,73128.5,0.3202,0.6836,0.6496,0.9956866310160428,0.7453231067961166
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,2,NA,39406.5,0.5554,0.4574,0.89,0.9956866310160428,0.6198851628468034
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,3,NA,30170.5,0.4094,0.5784,0.836,0.9956866310160428,0.6768256994818653
Promoter Flanking Region,Slice Stability,Jonckheere-Terpstra Test,1,NA,73334.5,0.3762,0.6096,0.7412,0.9956866310160428,0.6935975683890577
Promoter Flanking Region,Slice Stability,Jonckheere-Terpstra Test,2,NA,37203,0.9662,0.0428,0.0652,0.9956866310160428,0.30686627906976743
Promoter Flanking Region,Slice Stability,Jonckheere-Terpstra Test,3,NA,29775.5,0.5566,0.4472,0.8856,0.9956866310160428,0.618479802955665
Promoter,Slice Stability,Jonckheere-Terpstra Test,1,NA,71944.5,0.655,0.3444,0.7148,0.9956866310160428,0.5691605224963715
Promoter,Slice Stability,Jonckheere-Terpstra Test,2,NA,40167.5,0.2284,0.7622,0.484,0.9956866310160428,0.7925468518518518
Promoter,Slice Stability,Jonckheere-Terpstra Test,3,NA,28900,0.9268,0.06,0.144,0.9956866310160428,0.3117448
TF binding site,Slice Stability,Jonckheere-Terpstra Test,1,NA,73268.5,0.1794,0.8206,0.362,0.9956866310160428,0.839283970856102
TF binding site,Slice Stability,Jonckheere-Terpstra Test,2,NA,38975.5,0.8344,0.1754,0.3512,0.9956866310160428,0.4623498829039813
TF binding site,Slice Stability,Jonckheere-Terpstra Test,3,NA,30065,0.2428,0.7552,0.4792,0.9956866310160428,0.7874555246053853
CADD.RawScore,Slice Stability,Jonckheere-Terpstra Test,1,NA,75328.5,0.1414,0.8584,0.3044,0.9956866310160428,0.8708068654019874
CADD.RawScore,Slice Stability,Jonckheere-Terpstra Test,2,NA,39586,0.4244,0.579,0.906,0.9956866310160428,0.6768256994818653
CADD.RawScore,Slice Stability,Jonckheere-Terpstra Test,3,NA,29928,0.4602,0.5352,0.94,0.9956866310160428,0.6525837133550489
CADD.PHRED,Slice Stability,Jonckheere-Terpstra Test,1,NA,74991,0.176,0.8196,0.3512,0.9956866310160428,0.8390253418413856
CADD.PHRED,Slice Stability,Jonckheere-Terpstra Test,2,NA,39613.5,0.4208,0.5816,0.8776,0.9956866310160428,0.6768256994818653
CADD.PHRED,Slice Stability,Jonckheere-Terpstra Test,3,NA,29929,0.485,0.535,0.9556,0.9956866310160428,0.6525837133550489
SIFTval,Slice Stability,Jonckheere-Terpstra Test,1,NA,NA,NA,NA,NA,NA,NA
SIFTval,Slice Stability,Jonckheere-Terpstra Test,2,NA,NA,NA,NA,NA,NA,NA
SIFTval,Slice Stability,Jonckheere-Terpstra Test,3,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Slice Stability,Jonckheere-Terpstra Test,1,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Slice Stability,Jonckheere-Terpstra Test,2,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Slice Stability,Jonckheere-Terpstra Test,3,NA,NA,NA,NA,NA,NA,NA
priPhyloP,Slice Stability,Jonckheere-Terpstra Test,1,NA,73583,0.2696,0.7322,0.5136,0.9956866310160428,0.770958426966292
priPhyloP,Slice Stability,Jonckheere-Terpstra Test,2,NA,38815,0.5212,0.4696,0.9112,0.9956866310160428,0.6247099882491186
priPhyloP,Slice Stability,Jonckheere-Terpstra Test,3,NA,29274.5,0.5748,0.4218,0.8172,0.9956866310160428,0.6006413181242078
mamPhyloP,Slice Stability,Jonckheere-Terpstra Test,1,NA,73934,0.2168,0.7822,0.456,0.9956866310160428,0.8073626838235295
mamPhyloP,Slice Stability,Jonckheere-Terpstra Test,2,NA,38871.5,0.516,0.4888,0.9736,0.9956866310160428,0.6290343642611684
mamPhyloP,Slice Stability,Jonckheere-Terpstra Test,3,NA,28861.5,0.7036,0.3078,0.61240000000000006,0.9956866310160428,0.5566173913043478
verPhyloP,Slice Stability,Jonckheere-Terpstra Test,1,NA,74564.5,0.14,0.8516,0.286,0.9956866310160428,0.8654722171945701
verPhyloP,Slice Stability,Jonckheere-Terpstra Test,2,NA,39126.5,0.4504,0.5528,0.9056,0.9956866310160428,0.6646620985010706
verPhyloP,Slice Stability,Jonckheere-Terpstra Test,3,NA,28470.5,0.7902,0.2134,0.3948,0.9956866310160428,0.5092840764331211
GerpN,Slice Stability,Jonckheere-Terpstra Test,1,NA,72560.5,0.539,0.4592,0.9084,0.9956866310160428,0.6213031325301205
GerpN,Slice Stability,Jonckheere-Terpstra Test,2,NA,39855,0.3678,0.6378,0.7564,0.9956866310160428,0.7181348697394789
GerpN,Slice Stability,Jonckheere-Terpstra Test,3,NA,30452.5,0.3088,0.6898,0.6472,0.9956866310160428,0.7462865125240847
GerpS,Slice Stability,Jonckheere-Terpstra Test,1,NA,71527.5,0.7024,0.297,0.584,0.9956866310160428,0.5494744645799011
GerpS,Slice Stability,Jonckheere-Terpstra Test,2,NA,37825,0.846,0.1752,0.3228,0.9956866310160428,0.4623498829039813
GerpS,Slice Stability,Jonckheere-Terpstra Test,3,NA,29754.5,0.5204,0.4812,0.9408,0.9956866310160428,0.6268997679814385
bStatistic,Slice Stability,Jonckheere-Terpstra Test,1,NA,66866,0.9616,0.0324,0.0732,0.9956866310160428,0.30686627906976743
bStatistic,Slice Stability,Jonckheere-Terpstra Test,2,NA,34678,0.99,0.0084,0.0176,0.9956866310160428,0.30686627906976743
bStatistic,Slice Stability,Jonckheere-Terpstra Test,3,NA,26149,0.9912,0.0106,0.022,0.9956866310160428,0.30686627906976743
LINSIGHT,Slice Stability,Jonckheere-Terpstra Test,1,NA,73363,0.3722,0.6252,0.7196,0.9956866310160428,0.7070489425981873
LINSIGHT,Slice Stability,Jonckheere-Terpstra Test,2,NA,39141,0.514,0.491,0.9884,0.9956866310160428,0.6292385404789054
LINSIGHT,Slice Stability,Jonckheere-Terpstra Test,3,NA,30341.5,0.292,0.6926,0.602,0.9956866310160428,0.7464393474088292
Funseq.Value,Slice Stability,Jonckheere-Terpstra Test,1,NA,2,0.324,1,0.6504,0.9956866310160428,1
Funseq.Value,Slice Stability,Jonckheere-Terpstra Test,2,NA,NA,NA,NA,NA,NA,NA
Funseq.Value,Slice Stability,Jonckheere-Terpstra Test,3,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Slice Stability,Jonckheere-Terpstra Test,1,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Slice Stability,Jonckheere-Terpstra Test,2,NA,NA,NA,NA,NA,NA,NA
Aloft.Value,Slice Stability,Jonckheere-Terpstra Test,3,NA,NA,NA,NA,NA,NA,NA
CpG,Slice Stability,Jonckheere-Terpstra Test,1,NA,69822,0.904,0.1058,0.216,0.9956866310160428,0.3696832298136646
CpG,Slice Stability,Jonckheere-Terpstra Test,2,NA,37546.5,0.8702,0.1296,0.2408,0.9956866310160428,0.4127103641456583
CpG,Slice Stability,Jonckheere-Terpstra Test,3,NA,30964.5,0.196,0.8076,0.4104,0.9956866310160428,0.8297665141811528
GC,Slice Stability,Jonckheere-Terpstra Test,1,NA,72232,0.5908,0.3876,0.8404,0.9956866310160428,0.5825842876165113
GC,Slice Stability,Jonckheere-Terpstra Test,2,NA,35998.5,0.9828,0.0168,0.0336,0.9956866310160428,0.30686627906976743
GC,Slice Stability,Jonckheere-Terpstra Test,3,NA,29010.5,0.7258,0.271,0.5412,0.9956866310160428,0.5240666666666667
Fathmm.XF,Slice Stability,Jonckheere-Terpstra Test,1,NA,73110.5,0.3964,0.5964,0.8216,0.9956866310160428,0.6845826353421859
Fathmm.XF,Slice Stability,Jonckheere-Terpstra Test,2,NA,38681,0.5972,0.3924,0.7792,0.9956866310160428,0.5828904761904762
Fathmm.XF,Slice Stability,Jonckheere-Terpstra Test,3,NA,27696,0.9272,0.0802,0.1352,0.9956866310160428,0.32990695970695966
FIRE Score,Slice Stability,Jonckheere-Terpstra Test,1,NA,78460.5,0.0068,0.994,0.0128,0.9956866310160428,0.9966625000000001
FIRE Score,Slice Stability,Jonckheere-Terpstra Test,2,NA,43474.5,0.0026,0.997,0.0048,0.9956866310160428,0.9987787689562891
FIRE Score,Slice Stability,Jonckheere-Terpstra Test,3,NA,33781,0.0022,0.9992,0.0032,0.9956866310160428,1
ENCFF093VXI,Slice Stability,Jonckheere-Terpstra Test,1,TSS,5102.5,0.835,0.16,0.3208,0.9956866310160428,0.4503258145363409
ENCFF093VXI,Slice Stability,Jonckheere-Terpstra Test,1,AVE,5287.5,0.668,0.327,0.6464,0.9956866310160428,0.5659919999999999
ENCFF093VXI,Slice Stability,Jonckheere-Terpstra Test,2,TSS,787.5,0.7004,0.3114,0.6308,0.9956866310160428,0.56096096
ENCFF093VXI,Slice Stability,Jonckheere-Terpstra Test,2,AVE,807.5,0.6054,0.389,0.796,0.9956866310160428,0.5825842876165113
ENCFF093VXI,Slice Stability,Jonckheere-Terpstra Test,3,TSS,237,0.9468,0.0612,0.1356,0.9956866310160428,0.3117448
ENCFF093VXI,Slice Stability,Jonckheere-Terpstra Test,3,AVE,228,0.9626,0.0416,0.072,0.9956866310160428,0.30686627906976743
ENCFF915DFR,Slice Stability,Jonckheere-Terpstra Test,1,TSS,5193.5,0.7638,0.2296,0.4528,0.9956866310160428,0.5158641434262947
ENCFF915DFR,Slice Stability,Jonckheere-Terpstra Test,1,AVE,5219.5,0.7426,0.2576,0.526,0.9956866310160428,0.5230195804195805
ENCFF915DFR,Slice Stability,Jonckheere-Terpstra Test,2,TSS,788.5,0.6958,0.3034,0.6264,0.9956866310160428,0.5536735818476499
ENCFF915DFR,Slice Stability,Jonckheere-Terpstra Test,2,AVE,794.5,0.655,0.3252,0.6832,0.9956866310160428,0.5659919999999999
ENCFF915DFR,Slice Stability,Jonckheere-Terpstra Test,3,TSS,231,0.9528,0.0486,0.0936,0.9956866310160428,0.30896751269035533
ENCFF915DFR,Slice Stability,Jonckheere-Terpstra Test,3,AVE,236,0.9452,0.0512,0.1228,0.9956866310160428,0.30896751269035533
ENCFF776DPQ,Slice Stability,Jonckheere-Terpstra Test,1,TSS,4975.5,0.9142,0.0882,0.1832,0.9956866310160428,0.34350588235294116
ENCFF776DPQ,Slice Stability,Jonckheere-Terpstra Test,1,AVE,5116,0.8298,0.1782,0.3336,0.9956866310160428,0.46539209302325585
ENCFF776DPQ,Slice Stability,Jonckheere-Terpstra Test,2,TSS,798.5,0.6708,0.3652,0.696,0.9956866310160428,0.5761068531468532
