"GENE_ID","GEUVADIS","IN_GENCODE","CHR","LEFT","TSS","RIGHT","DIRECTION"
"1","ENSG00000003249","ENSG00000003249.8",TRUE,"chr16",89086298,90086298,91086298,"-"
"2","ENSG00000004779","ENSG00000004779.5",TRUE,"chr16",22607637,23607637,24607637,"-"
"3","ENSG00000005187","ENSG00000005187.7",TRUE,"chr16",19621565,20621565,21621565,"+"
"4","ENSG00000005189","ENSG00000005189.14",TRUE,"chr16",19817751,20817751,21817751,"+"
"5","ENSG00000005194","ENSG00000005194.10",TRUE,"chr16",56481332,57481332,58481332,"-"
"6","ENSG00000005339","ENSG00000005339.7",TRUE,"chr16",2930714,3930714,4930714,"-"
"7","ENSG00000005513","ENSG00000005513.9",TRUE,"chr16",31770,1031770,2031770,"+"
"8","ENSG00000005844","ENSG00000005844.12",TRUE,"chr16",29483979,30483979,31483979,"+"
"9","ENSG00000006007","ENSG00000006007.7",TRUE,"chr16",18533445,19533445,20533445,"-"
"10","ENSG00000006116","ENSG00000006116.3",TRUE,"chr16",23267656,24267656,25267656,"+"
"11","ENSG00000006194","ENSG00000006194.6",TRUE,"chr16",2313800,3313800,4313800,"+"
"12","ENSG00000006210","ENSG00000006210.6",TRUE,"chr16",56406389,57406389,58406389,"+"
"13","ENSG00000006327","ENSG00000006327.9",TRUE,"chr16",2068446,3068446,4068446,"+"
"14","ENSG00000007038","ENSG00000007038.6",TRUE,"chr16",1867181,2867181,3867181,"+"
"15","ENSG00000007376","ENSG00000007376.3",TRUE,"chr16",-161603,838397,1838397,"-"
"16","ENSG00000007384","ENSG00000007384.9",TRUE,"chr16",-873646,126354,1126354,"-"
"17","ENSG00000007392","ENSG00000007392.12",TRUE,"chr16",-720538,279462,1279462,"-"
"18","ENSG00000007516","ENSG00000007516.8",TRUE,"chr16",383639,1383639,2383639,"+"
"19","ENSG00000007520","ENSG00000007520.3",TRUE,"chr16",401879,1401879,2401879,"-"
"20","ENSG00000007541","ENSG00000007541.10",TRUE,"chr16",-383005,616995,1616995,"+"
"21","ENSG00000007545","ENSG00000007545.10",TRUE,"chr16",662338,1662338,2662338,"+"
"22","ENSG00000008516","ENSG00000008516.11",TRUE,"chr16",2096063,3096063,4096063,"+"
"23","ENSG00000008517","ENSG00000008517.12",TRUE,"chr16",2115298,3115298,4115298,"+"
"24","ENSG00000008710","ENSG00000008710.11",TRUE,"chr16",1185899,2185899,3185899,"-"
"25","ENSG00000010539","ENSG00000010539.7",TRUE,"chr16",2286221,3286221,4286221,"-"
"26","ENSG00000011638","ENSG00000011638.6",TRUE,"chr16",20169698,21169698,22169698,"+"
