"GENE_ID","GEUVADIS","IN_GENCODE","CHR","LEFT","TSS","RIGHT","DIRECTION"
"1","ENSG00000003393","ENSG00000003393.10",TRUE,"chr2",201646835,202646835,203646835,"-"
"2","ENSG00000003400","ENSG00000003400.10",TRUE,"chr2",201047621,202047621,203047621,"+"
"3","ENSG00000003402","ENSG00000003402.12",TRUE,"chr2",200980877,201980877,202980877,"+"
"4","ENSG00000003436","ENSG00000003436.10",TRUE,"chr2",187430487,188430487,189430487,"-"
"5","ENSG00000003509","ENSG00000003509.11",TRUE,"chr2",36458774,37458774,38458774,"+"
"6","ENSG00000005436","ENSG00000005436.9",TRUE,"chr2",74938111,75938111,76938111,"-"
"7","ENSG00000005448","ENSG00000005448.12",TRUE,"chr2",73648805,74648805,75648805,"+"
"8","ENSG00000006607","ENSG00000006607.8",TRUE,"chr2",241295700,242295700,243295700,"+"
"9","ENSG00000008869","ENSG00000008869.6",TRUE,"chr2",36311515,37311515,38311515,"-"
"10","ENSG00000011523","ENSG00000011523.8",TRUE,"chr2",64283500,65283500,66283500,"+"
"11","ENSG00000011566","ENSG00000011566.8",TRUE,"chr2",38664442,39664442,40664442,"-"
"12","ENSG00000013016","ENSG00000013016.10",TRUE,"chr2",30457018,31457018,32457018,"+"
"13","ENSG00000013441","ENSG00000013441.10",TRUE,"chr2",200729467,201729467,202729467,"-"
"14","ENSG00000014641","ENSG00000014641.13",TRUE,"chr2",62815743,63815743,64815743,"+"
"15","ENSG00000015568","ENSG00000015568.7",TRUE,"chr2",109550335,110550335,111550335,"+"
"16","ENSG00000018280","ENSG00000018280.12",TRUE,"chr2",218246752,219246752,220246752,"+"
"17","ENSG00000018510","ENSG00000018510.7",TRUE,"chr2",177257474,178257474,179257474,"+"
"18","ENSG00000018607","ENSG00000018607.5",TRUE,"chr2",132062379,133062379,134062379,"+"
"19","ENSG00000018699","ENSG00000018699.7",TRUE,"chr2",31853099,32853099,33853099,"+"
"20","ENSG00000019169","ENSG00000019169.8",TRUE,"chr2",118699770,119699770,120699770,"+"
"21","ENSG00000021574","ENSG00000021574.7",TRUE,"chr2",31288625,32288625,33288625,"+"
"22","ENSG00000021826","ENSG00000021826.9",TRUE,"chr2",210342406,211342406,212342406,"+"
"23","ENSG00000023228","ENSG00000023228.8",TRUE,"chr2",206024233,207024233,208024233,"-"
"24","ENSG00000028116","ENSG00000028116.11",TRUE,"chr2",57134764,58134764,59134764,"+"
"25","ENSG00000030419","ENSG00000030419.11",TRUE,"chr2",213017151,214017151,215017151,"-"
"26","ENSG00000032389","ENSG00000032389.8",TRUE,"chr2",2381601,3381601,4381601,"-"
"27","ENSG00000034510","ENSG00000034510.4",TRUE,"chr2",84132780,85132780,86132780,"+"
"28","ENSG00000035115","ENSG00000035115.15",TRUE,"chr2",-733602,266398,1266398,"-"
"29","ENSG00000035141","ENSG00000035141.3",TRUE,"chr2",69529222,70529222,71529222,"-"
"30","ENSG00000036257","ENSG00000036257.8",TRUE,"chr2",224450114,225450114,226450114,"-"
"31","ENSG00000040933","ENSG00000040933.10",TRUE,"chr2",98061317,99061317,100061317,"+"
"32","ENSG00000042445","ENSG00000042445.9",TRUE,"chr2",84581654,85581654,86581654,"-"
"33","ENSG00000042493","ENSG00000042493.10",TRUE,"chr2",84645555,85645555,86645555,"-"
"34","ENSG00000048991","ENSG00000048991.11",TRUE,"chr2",135289025,136289025,137289025,"+"
"35","ENSG00000049323","ENSG00000049323.10",TRUE,"chr2",32172020,33172020,34172020,"+"
"36","ENSG00000054219","ENSG00000054219.9",TRUE,"chr2",159761267,160761267,161761267,"-"
"37","ENSG00000054356","ENSG00000054356.6",TRUE,"chr2",219174370,220174370,221174370,"-"
"38","ENSG00000055044","ENSG00000055044.5",TRUE,"chr2",202130459,203130459,204130459,"+"
"39","ENSG00000055332","ENSG00000055332.10",TRUE,"chr2",36384665,37384665,38384665,"-"
"40","ENSG00000055813","ENSG00000055813.4",TRUE,"chr2",55411125,56411125,57411125,"+"
"41","ENSG00000055917","ENSG00000055917.11",TRUE,"chr2",19551995,20551995,21551995,"-"
"42","ENSG00000057935","ENSG00000057935.8",TRUE,"chr2",41721709,42721709,43721709,"+"
"43","ENSG00000059728","ENSG00000059728.6",TRUE,"chr2",69124820,70124820,71124820,"+"
"44","ENSG00000061676","ENSG00000061676.9",TRUE,"chr2",182903586,183903586,184903586,"-"
"45","ENSG00000063660","ENSG00000063660.4",TRUE,"chr2",240375080,241375080,242375080,"+"
"46","ENSG00000064012","ENSG00000064012.15",TRUE,"chr2",201098166,202098166,203098166,"+"
"47","ENSG00000064933","ENSG00000064933.11",TRUE,"chr2",189648811,190648811,191648811,"+"
"48","ENSG00000064989","ENSG00000064989.8",TRUE,"chr2",187313187,188313187,189313187,"-"
"49","ENSG00000065413","ENSG00000065413.12",TRUE,"chr2",197175897,198175897,199175897,"-"
"50","ENSG00000065548","ENSG00000065548.12",TRUE,"chr2",186350980,187350980,188350980,"+"
"51","ENSG00000065802","ENSG00000065802.7",TRUE,"chr2",238335383,239335383,240335383,"+"
"52","ENSG00000065911","ENSG00000065911.7",TRUE,"chr2",73413299,74413299,75413299,"+"
"53","ENSG00000066032","ENSG00000066032.13",TRUE,"chr2",78412357,79412357,80412357,"+"
"54","ENSG00000067066","ENSG00000067066.11",TRUE,"chr2",230280657,231280657,232280657,"+"
"55","ENSG00000068024","ENSG00000068024.11",TRUE,"chr2",239323348,240323348,241323348,"-"
"56","ENSG00000068615","ENSG00000068615.11",TRUE,"chr2",85565206,86565206,87565206,"-"
"57","ENSG00000068654","ENSG00000068654.11",TRUE,"chr2",85333278,86333278,87333278,"-"
"58","ENSG00000068697","ENSG00000068697.6",TRUE,"chr2",19251389,20251389,21251389,"-"
"59","ENSG00000068724","ENSG00000068724.10",TRUE,"chr2",46143296,47143296,48143296,"+"
"60","ENSG00000068781","ENSG00000068781.14",TRUE,"chr2",47757064,48757064,49757064,"+"
"61","ENSG00000068784","ENSG00000068784.8",TRUE,"chr2",44839304,45839304,46839304,"-"
"62","ENSG00000068878","ENSG00000068878.10",TRUE,"chr2",53198130,54198130,55198130,"-"
"63","ENSG00000068912","ENSG00000068912.9",TRUE,"chr2",53014181,54014181,55014181,"+"
"64","ENSG00000071051","ENSG00000071051.9",TRUE,"chr2",105361369,106361369,107361369,"+"
"65","ENSG00000071054","ENSG00000071054.10",TRUE,"chr2",101313312,102313312,103313312,"+"
"66","ENSG00000071073","ENSG00000071073.6",TRUE,"chr2",98347595,99347595,100347595,"-"
"67","ENSG00000071082","ENSG00000071082.5",TRUE,"chr2",100618691,101618691,102618691,"+"
"68","ENSG00000071575","ENSG00000071575.7",TRUE,"chr2",11857036,12857036,13857036,"+"
"69","ENSG00000071909","ENSG00000071909.12",TRUE,"chr2",170034655,171034655,172034655,"+"
"70","ENSG00000071967","ENSG00000071967.7",TRUE,"chr2",171378757,172378757,173378757,"+"
"71","ENSG00000072135","ENSG00000072135.7",TRUE,"chr2",130113618,131113618,132113618,"+"
"72","ENSG00000072163","ENSG00000072163.12",TRUE,"chr2",127439360,128439360,129439360,"-"
"73","ENSG00000072195","ENSG00000072195.9",TRUE,"chr2",219299565,220299565,221299565,"+"
"74","ENSG00000073737","ENSG00000073737.11",TRUE,"chr2",168921299,169921299,170921299,"+"
"75","ENSG00000074054","ENSG00000074054.12",TRUE,"chr2",121407052,122407052,123407052,"-"
"76","ENSG00000074582","ENSG00000074582.8",TRUE,"chr2",218523487,219523487,220523487,"+"
"77","ENSG00000075292","ENSG00000075292.11",TRUE,"chr2",70503691,71503691,72503691,"+"
"78","ENSG00000075340","ENSG00000075340.15",TRUE,"chr2",69995357,70995357,71995357,"-"
"79","ENSG00000075426","ENSG00000075426.7",TRUE,"chr2",27615315,28615315,29615315,"+"
"80","ENSG00000075568","ENSG00000075568.12",TRUE,"chr2",97612411,98612411,99612411,"-"
"81","ENSG00000075884","ENSG00000075884.8",TRUE,"chr2",142848931,143848931,144848931,"+"
"82","ENSG00000075886","ENSG00000075886.9",TRUE,"chr2",131233692,132233692,133233692,"+"
"83","ENSG00000076003","ENSG00000076003.4",TRUE,"chr2",135634013,136634013,137634013,"-"
"84","ENSG00000077044","ENSG00000077044.5",TRUE,"chr2",233263140,234263140,235263140,"+"
"85","ENSG00000077232","ENSG00000077232.10",TRUE,"chr2",182580982,183580982,184580982,"+"
"86","ENSG00000077380","ENSG00000077380.11",TRUE,"chr2",171543919,172543919,173543919,"+"
"87","ENSG00000078018","ENSG00000078018.15",TRUE,"chr2",209288771,210288771,211288771,"+"
"88","ENSG00000078098","ENSG00000078098.8",TRUE,"chr2",162101661,163101661,164101661,"-"
"89","ENSG00000079150","ENSG00000079150.12",TRUE,"chr2",178343327,179343327,180343327,"-"
"90","ENSG00000079156","ENSG00000079156.11",TRUE,"chr2",178059208,179059208,180059208,"+"
"91","ENSG00000079246","ENSG00000079246.11",TRUE,"chr2",215972187,216972187,217972187,"+"
"92","ENSG00000079263","ENSG00000079263.11",TRUE,"chr2",230067826,231067826,232067826,"+"
"93","ENSG00000079308","ENSG00000079308.11",TRUE,"chr2",217898705,218898705,219898705,"-"
"94","ENSG00000079785","ENSG00000079785.8",TRUE,"chr2",14731302,15731302,16731302,"+"
"95","ENSG00000080345","ENSG00000080345.12",TRUE,"chr2",151266397,152266397,153266397,"+"
"96","ENSG00000081052","ENSG00000081052.10",TRUE,"chr2",227029169,228029169,229029169,"-"
"97","ENSG00000081320","ENSG00000081320.5",TRUE,"chr2",196041227,197041227,198041227,"-"
"98","ENSG00000081479","ENSG00000081479.7",TRUE,"chr2",169219044,170219044,171219044,"-"
"99","ENSG00000082126","ENSG00000082126.11",TRUE,"chr2",201563417,202563417,203563417,"-"
"100","ENSG00000082146","ENSG00000082146.6",TRUE,"chr2",201252581,202252581,203252581,"+"
"101","ENSG00000082153","ENSG00000082153.12",TRUE,"chr2",200675317,201675317,202675317,"+"
"102","ENSG00000082258","ENSG00000082258.8",TRUE,"chr2",134675805,135675805,136675805,"+"
"103","ENSG00000082898","ENSG00000082898.12",TRUE,"chr2",60765876,61765876,62765876,"-"
"104","ENSG00000084090","ENSG00000084090.9",TRUE,"chr2",95874565,96874565,97874565,"-"
"105","ENSG00000084676","ENSG00000084676.11",TRUE,"chr2",23714123,24714123,25714123,"+"
"106","ENSG00000084693","ENSG00000084693.11",TRUE,"chr2",26265232,27265232,28265232,"+"
"107","ENSG00000084710","ENSG00000084710.8",TRUE,"chr2",24264945,25264945,26264945,"+"
"108","ENSG00000084731","ENSG00000084731.8",TRUE,"chr2",25205618,26205618,27205618,"-"
"109","ENSG00000084733","ENSG00000084733.6",TRUE,"chr2",25256953,26256953,27256953,"+"
