"GENE_ID","GEUVADIS","IN_GENCODE","CHR","LEFT","TSS","RIGHT","DIRECTION"
"1","ENSG00000000419","ENSG00000000419.7",TRUE,"chr20",48575677,49575677,50575677,"-"
"2","ENSG00000020256","ENSG00000020256.14",TRUE,"chr20",49820847,50820847,51820847,"-"
"3","ENSG00000022277","ENSG00000022277.8",TRUE,"chr20",54043641,55043641,56043641,"+"
"4","ENSG00000025293","ENSG00000025293.11",TRUE,"chr20",33359896,34359896,35359896,"+"
"5","ENSG00000025772","ENSG00000025772.7",TRUE,"chr20",42589038,43589038,44589038,"-"
"6","ENSG00000026036","ENSG00000026036.16",TRUE,"chr20",61290653,62290653,63290653,"+"
"7","ENSG00000026559","ENSG00000026559.8",TRUE,"chr20",48639644,49639644,50639644,"-"
"8","ENSG00000042062","ENSG00000042062.7",TRUE,"chr20",48308079,49308079,50308079,"-"
"9","ENSG00000053438","ENSG00000053438.7",TRUE,"chr20",35149608,36149608,37149608,"+"
"10","ENSG00000054793","ENSG00000054793.9",TRUE,"chr20",49384929,50384929,51384929,"-"
"11","ENSG00000060491","ENSG00000060491.10",TRUE,"chr20",60436187,61436187,62436187,"+"
"12","ENSG00000061656","ENSG00000061656.5",TRUE,"chr20",33203751,34203751,35203751,"+"
"13","ENSG00000062598","ENSG00000062598.12",TRUE,"chr20",44061624,45061624,46061624,"-"
"14","ENSG00000064601","ENSG00000064601.11",TRUE,"chr20",43518783,44518783,45518783,"+"
"15","ENSG00000064655","ENSG00000064655.13",TRUE,"chr20",44523263,45523263,46523263,"+"
"16","ENSG00000064787","ENSG00000064787.7",TRUE,"chr20",51687133,52687133,53687133,"-"
"17","ENSG00000075043","ENSG00000075043.12",TRUE,"chr20",61104030,62104030,63104030,"-"
"18","ENSG00000077984","ENSG00000077984.4",TRUE,"chr20",23929905,24929905,25929905,"+"
"19","ENSG00000078699","ENSG00000078699.15",TRUE,"chr20",31077881,32077881,33077881,"+"
"20","ENSG00000078747","ENSG00000078747.7",TRUE,"chr20",31951047,32951047,33951047,"+"
"21","ENSG00000078804","ENSG00000078804.8",TRUE,"chr20",32292143,33292143,34292143,"+"
"22","ENSG00000078814","ENSG00000078814.11",TRUE,"chr20",32543613,33543613,34543613,"+"
"23","ENSG00000080189","ENSG00000080189.9",TRUE,"chr20",43993097,44993097,45993097,"-"
"24","ENSG00000080839","ENSG00000080839.7",TRUE,"chr20",34724400,35724400,36724400,"-"
"25","ENSG00000080845","ENSG00000080845.12",TRUE,"chr20",33894258,34894258,35894258,"+"
"26","ENSG00000087460","ENSG00000087460.15",TRUE,"chr20",56414773,57414773,58414773,"+"
"27","ENSG00000087495","ENSG00000087495.12",TRUE,"chr20",57152564,58152564,59152564,"+"
"28","ENSG00000087586","ENSG00000087586.13",TRUE,"chr20",53967393,54967393,55967393,"-"
"29","ENSG00000087589","ENSG00000087589.12",TRUE,"chr20",53987168,54987168,55987168,"+"
"30","ENSG00000088298","ENSG00000088298.7",TRUE,"chr20",32735139,33735139,34735139,"-"
"31","ENSG00000088305","ENSG00000088305.12",TRUE,"chr20",30350191,31350191,32350191,"+"
"32","ENSG00000088325","ENSG00000088325.11",TRUE,"chr20",29327074,30327074,31327074,"+"
"33","ENSG00000088340","ENSG00000088340.10",TRUE,"chr20",33195484,34195484,35195484,"-"
"34","ENSG00000088356","ENSG00000088356.4",TRUE,"chr20",29539849,30539849,31539849,"-"
"35","ENSG00000088367","ENSG00000088367.14",TRUE,"chr20",33679426,34679426,35679426,"+"
"36","ENSG00000088766","ENSG00000088766.6",TRUE,"chr20",4986739,5986739,6986739,"+"
"37","ENSG00000088812","ENSG00000088812.12",TRUE,"chr20",2451665,3451665,4451665,"+"
"38","ENSG00000088826","ENSG00000088826.12",TRUE,"chr20",3101627,4101627,5101627,"+"
"39","ENSG00000088832","ENSG00000088832.10",TRUE,"chr20",373808,1373808,2373808,"-"
"40","ENSG00000088833","ENSG00000088833.11",TRUE,"chr20",454487,1454487,2454487,"-"
"41","ENSG00000088836","ENSG00000088836.7",TRUE,"chr20",2220205,3220205,4220205,"-"
"42","ENSG00000088854","ENSG00000088854.11",TRUE,"chr20",2388316,3388316,4388316,"-"
"43","ENSG00000088876","ENSG00000088876.7",TRUE,"chr20",1505348,2505348,3505348,"-"
"44","ENSG00000088881","ENSG00000088881.13",TRUE,"chr20",1673520,2673520,3673520,"+"
"45","ENSG00000088882","ENSG00000088882.6",TRUE,"chr20",1781273,2781273,3781273,"-"
"46","ENSG00000088888","ENSG00000088888.12",TRUE,"chr20",2827446,3827446,4827446,"+"
"47","ENSG00000088899","ENSG00000088899.10",TRUE,"chr20",2154195,3154195,4154195,"-"
"48","ENSG00000088930","ENSG00000088930.6",TRUE,"chr20",20283969,21283969,22283969,"+"
"49","ENSG00000088970","ENSG00000088970.10",TRUE,"chr20",20106624,21106624,22106624,"+"
"50","ENSG00000089006","ENSG00000089006.11",TRUE,"chr20",16949623,17949623,18949623,"-"
"51","ENSG00000089012","ENSG00000089012.9",TRUE,"chr20",638425,1638425,2638425,"-"
"52","ENSG00000089048","ENSG00000089048.9",TRUE,"chr20",12765565,13765565,14765565,"-"
"53","ENSG00000089050","ENSG00000089050.9",TRUE,"chr20",17477869,18477869,19477869,"-"
"54","ENSG00000089057","ENSG00000089057.10",TRUE,"chr20",3990939,4990939,5990939,"-"
"55","ENSG00000089063","ENSG00000089063.10",TRUE,"chr20",4093749,5093749,6093749,"-"
"56","ENSG00000089091","ENSG00000089091.10",TRUE,"chr20",17447925,18447925,19447925,"-"
"57","ENSG00000089123","ENSG00000089123.10",TRUE,"chr20",12619579,13619579,14619579,"-"
"58","ENSG00000089177","ENSG00000089177.12",TRUE,"chr20",15554093,16554093,17554093,"-"
"59","ENSG00000089195","ENSG00000089195.10",TRUE,"chr20",4931204,5931204,6931204,"-"
"60","ENSG00000089199","ENSG00000089199.5",TRUE,"chr20",4892156,5892156,6892156,"+"
"61","ENSG00000092758","ENSG00000092758.10",TRUE,"chr20",60447596,61447596,62447596,"+"
"62","ENSG00000100979","ENSG00000100979.10",TRUE,"chr20",43540794,44540794,45540794,"-"
"63","ENSG00000100982","ENSG00000100982.6",TRUE,"chr20",43563322,44563322,45563322,"+"
"64","ENSG00000100983","ENSG00000100983.5",TRUE,"chr20",32543830,33543830,34543830,"-"
"65","ENSG00000100985","ENSG00000100985.6",TRUE,"chr20",43637547,44637547,45637547,"+"
"66","ENSG00000100991","ENSG00000100991.5",TRUE,"chr20",32680610,33680610,34680610,"-"
"67","ENSG00000100994","ENSG00000100994.7",TRUE,"chr20",24228721,25228721,26228721,"+"
"68","ENSG00000100997","ENSG00000100997.12",TRUE,"chr20",24371471,25371471,26371471,"-"
"69","ENSG00000101000","ENSG00000101000.3",TRUE,"chr20",32759875,33759875,34759875,"+"
"70","ENSG00000101003","ENSG00000101003.8",TRUE,"chr20",24388309,25388309,26388309,"+"
"71","ENSG00000101004","ENSG00000101004.9",TRUE,"chr20",24566167,25566167,26566167,"-"
"72","ENSG00000101017","ENSG00000101017.8",TRUE,"chr20",43746917,44746917,45746917,"+"
"73","ENSG00000101019","ENSG00000101019.16",TRUE,"chr20",32999834,33999834,34999834,"-"
"74","ENSG00000101040","ENSG00000101040.14",TRUE,"chr20",44985633,45985633,46985633,"-"
"75","ENSG00000101049","ENSG00000101049.10",TRUE,"chr20",41187608,42187608,43187608,"+"
"76","ENSG00000101052","ENSG00000101052.8",TRUE,"chr20",41219577,42219577,43219577,"+"
"77","ENSG00000101057","ENSG00000101057.11",TRUE,"chr20",41295659,42295659,43295659,"+"
"78","ENSG00000101079","ENSG00000101079.15",TRUE,"chr20",34374493,35374493,36374493,"-"
"79","ENSG00000101082","ENSG00000101082.9",TRUE,"chr20",34274599,35274599,36274599,"-"
"80","ENSG00000101084","ENSG00000101084.12",TRUE,"chr20",34234182,35234182,36234182,"+"
"81","ENSG00000101096","ENSG00000101096.13",TRUE,"chr20",49179370,50179370,51179370,"-"
"82","ENSG00000101104","ENSG00000101104.6",TRUE,"chr20",42538701,43538701,44538701,"+"
"83","ENSG00000101109","ENSG00000101109.7",TRUE,"chr20",42595120,43595120,44595120,"+"
"84","ENSG00000101126","ENSG00000101126.9",TRUE,"chr20",48547974,49547974,50547974,"-"
"85","ENSG00000101132","ENSG00000101132.5",TRUE,"chr20",51824626,52824626,53824626,"+"
"86","ENSG00000101138","ENSG00000101138.6",TRUE,"chr20",53967427,54967427,55967427,"+"
"87","ENSG00000101146","ENSG00000101146.8",TRUE,"chr20",54926279,55926279,56926279,"+"
"88","ENSG00000101150","ENSG00000101150.11",TRUE,"chr20",61496581,62496581,63496581,"+"
"89","ENSG00000101152","ENSG00000101152.6",TRUE,"chr20",61526479,62526479,63526479,"+"
"90","ENSG00000101158","ENSG00000101158.7",TRUE,"chr20",56556263,57556263,58556263,"+"
"91","ENSG00000101160","ENSG00000101160.9",TRUE,"chr20",56583293,57583293,58583293,"-"
"92","ENSG00000101161","ENSG00000101161.6",TRUE,"chr20",61612485,62612485,63612485,"+"
"93","ENSG00000101162","ENSG00000101162.3",TRUE,"chr20",56594484,57594484,58594484,"+"
"94","ENSG00000101166","ENSG00000101166.11",TRUE,"chr20",56617864,57617864,58617864,"-"
"95","ENSG00000101181","ENSG00000101181.12",TRUE,"chr20",59758084,60758084,61758084,"+"
"96","ENSG00000101182","ENSG00000101182.10",TRUE,"chr20",59718496,60718496,61718496,"-"
