"GENE_ID","GEUVADIS","IN_GENCODE","CHR","LEFT","TSS","RIGHT","DIRECTION"
"1","ENSG00000005238","ENSG00000005238.13",TRUE,"chr9",34116338,35116338,36116338,"-"
"2","ENSG00000011454","ENSG00000011454.11",TRUE,"chr9",124703112,125703112,126703112,"+"
"3","ENSG00000023318","ENSG00000023318.7",TRUE,"chr9",101861282,102861282,103861282,"-"
"4","ENSG00000041982","ENSG00000041982.9",TRUE,"chr9",116880536,117880536,118880536,"-"
"5","ENSG00000044459","ENSG00000044459.9",TRUE,"chr9",16134980,17134980,18134980,"+"
"6","ENSG00000044574","ENSG00000044574.6",TRUE,"chr9",127003661,128003661,129003661,"-"
"7","ENSG00000048828","ENSG00000048828.11",TRUE,"chr9",95213967,96213967,97213967,"+"
"8","ENSG00000054148","ENSG00000054148.13",TRUE,"chr9",138743176,139743176,140743176,"+"
"9","ENSG00000054179","ENSG00000054179.6",TRUE,"chr9",138948513,139948513,140948513,"-"
"10","ENSG00000056558","ENSG00000056558.6",TRUE,"chr9",122691451,123691451,124691451,"-"
"11","ENSG00000056586","ENSG00000056586.10",TRUE,"chr9",124667638,125667638,126667638,"-"
"12","ENSG00000059769","ENSG00000059769.15",TRUE,"chr9",113393614,114393614,115393614,"+"
"13","ENSG00000066697","ENSG00000066697.10",TRUE,"chr9",102189425,103189425,104189425,"+"
"14","ENSG00000070061","ENSG00000070061.10",TRUE,"chr9",110696608,111696608,112696608,"-"
"15","ENSG00000070159","ENSG00000070159.7",TRUE,"chr9",111260593,112260593,113260593,"-"
"16","ENSG00000070214","ENSG00000070214.10",TRUE,"chr9",107006903,108006903,109006903,"+"
"17","ENSG00000070601","ENSG00000070601.5",TRUE,"chr9",36650951,37650951,38650951,"+"
"18","ENSG00000070610","ENSG00000070610.10",TRUE,"chr9",34749225,35749225,36749225,"-"
"19","ENSG00000080298","ENSG00000080298.10",TRUE,"chr9",2526004,3526004,4526004,"-"
"20","ENSG00000080503","ENSG00000080503.14",TRUE,"chr9",980290,1980290,2980290,"+"
"21","ENSG00000080608","ENSG00000080608.8",TRUE,"chr9",1844095,2844095,3844095,"-"
"22","ENSG00000081377","ENSG00000081377.12",TRUE,"chr9",98382125,99382125,100382125,"-"
"23","ENSG00000081386","ENSG00000081386.8",TRUE,"chr9",98540411,99540411,100540411,"-"
"24","ENSG00000083223","ENSG00000083223.12",TRUE,"chr9",87969369,88969369,89969369,"-"
