"GENE_ID","GEUVADIS","IN_GENCODE","CHR","LEFT","TSS","RIGHT","DIRECTION"
"1","ENSG00000002834","ENSG00000002834.11",TRUE,"chr17",36026112,37026112,38026112,"+"
"2","ENSG00000002919","ENSG00000002919.9",TRUE,"chr17",45180719,46180719,47180719,"+"
"3","ENSG00000004139","ENSG00000004139.8",TRUE,"chr17",25691378,26691378,27691378,"+"
"4","ENSG00000004142","ENSG00000004142.6",TRUE,"chr17",25684550,26684550,27684550,"-"
"5","ENSG00000004660","ENSG00000004660.10",TRUE,"chr17",2798185,3798185,4798185,"-"
"6","ENSG00000004897","ENSG00000004897.6",TRUE,"chr17",44266788,45266788,46266788,"-"
"7","ENSG00000004975","ENSG00000004975.7",TRUE,"chr17",6137836,7137836,8137836,"-"
"8","ENSG00000005100","ENSG00000005100.8",TRUE,"chr17",4372302,5372302,6372302,"-"
"9","ENSG00000005102","ENSG00000005102.8",TRUE,"chr17",40739290,41739290,42739290,"-"
"10","ENSG00000005156","ENSG00000005156.5",TRUE,"chr17",32307531,33307531,34307531,"+"
"11","ENSG00000005243","ENSG00000005243.4",TRUE,"chr17",45115392,46115392,47115392,"-"
"12","ENSG00000005379","ENSG00000005379.10",TRUE,"chr17",55406156,56406156,57406156,"-"
"13","ENSG00000005381","ENSG00000005381.5",TRUE,"chr17",55358296,56358296,57358296,"-"
"14","ENSG00000005882","ENSG00000005882.6",TRUE,"chr17",47172101,48172101,49172101,"+"
"15","ENSG00000005884","ENSG00000005884.12",TRUE,"chr17",47133332,48133332,49133332,"+"
"16","ENSG00000005961","ENSG00000005961.12",TRUE,"chr17",41467017,42467017,43467017,"-"
"17","ENSG00000006025","ENSG00000006025.6",TRUE,"chr17",44899200,45899200,46899200,"-"
"18","ENSG00000006042","ENSG00000006042.5",TRUE,"chr17",30254928,31254928,32254928,"+"
"19","ENSG00000006062","ENSG00000006062.8",TRUE,"chr17",42394395,43394395,44394395,"-"
"20","ENSG00000006125","ENSG00000006125.11",TRUE,"chr17",32905065,33905065,34905065,"+"
"21","ENSG00000006282","ENSG00000006282.13",TRUE,"chr17",47620419,48620419,49620419,"+"
"22","ENSG00000006283","ENSG00000006283.13",TRUE,"chr17",47638076,48638076,49638076,"+"
"23","ENSG00000006695","ENSG00000006695.5",TRUE,"chr17",12972807,13972807,14972807,"+"
"24","ENSG00000006740","ENSG00000006740.10",TRUE,"chr17",11692815,12692815,13692815,"+"
"25","ENSG00000006744","ENSG00000006744.10",TRUE,"chr17",11921382,12921382,13921382,"-"
"26","ENSG00000007168","ENSG00000007168.6",TRUE,"chr17",1496504,2496504,3496504,"+"
"27","ENSG00000007171","ENSG00000007171.11",TRUE,"chr17",25127555,26127555,27127555,"-"
"28","ENSG00000007202","ENSG00000007202.7",TRUE,"chr17",25972472,26972472,27972472,"-"
"29","ENSG00000007237","ENSG00000007237.10",TRUE,"chr17",9101923,10101923,11101923,"-"
"30","ENSG00000007312","ENSG00000007312.7",TRUE,"chr17",61009696,62009696,63009696,"-"
"31","ENSG00000007314","ENSG00000007314.6",TRUE,"chr17",61050278,62050278,63050278,"-"
"32","ENSG00000008283","ENSG00000008283.10",TRUE,"chr17",60523715,61523715,62523715,"-"
"33","ENSG00000008294","ENSG00000008294.14",TRUE,"chr17",48198229,49198229,50198229,"-"
"34","ENSG00000008838","ENSG00000008838.11",TRUE,"chr17",37217468,38217468,39217468,"-"
"35","ENSG00000010244","ENSG00000010244.10",TRUE,"chr17",29677151,30677151,31677151,"+"
"36","ENSG00000011028","ENSG00000011028.8",TRUE,"chr17",59705031,60705031,61705031,"+"
"37","ENSG00000011052","ENSG00000011052.16",TRUE,"chr17",48230951,49230951,50230951,"+"
"38","ENSG00000011143","ENSG00000011143.11",TRUE,"chr17",55296966,56296966,57296966,"-"
"39","ENSG00000011258","ENSG00000011258.10",TRUE,"chr17",48337524,49337524,50337524,"-"
"40","ENSG00000011260","ENSG00000011260.7",TRUE,"chr17",48337907,49337907,50337907,"+"
"41","ENSG00000011295","ENSG00000011295.7",TRUE,"chr17",14903098,15903098,16903098,"+"
"42","ENSG00000012048","ENSG00000012048.13",TRUE,"chr17",40322262,41322262,42322262,"-"
"43","ENSG00000013306","ENSG00000013306.10",TRUE,"chr17",41402238,42402238,43402238,"-"
"44","ENSG00000015532","ENSG00000015532.5",TRUE,"chr17",47423487,48423487,49423487,"+"
"45","ENSG00000029725","ENSG00000029725.11",TRUE,"chr17",4185560,5185560,6185560,"+"
"46","ENSG00000030582","ENSG00000030582.10",TRUE,"chr17",41422614,42422614,43422614,"+"
"47","ENSG00000033627","ENSG00000033627.9",TRUE,"chr17",39610862,40610862,41610862,"+"
"48","ENSG00000034152","ENSG00000034152.13",TRUE,"chr17",20187984,21187984,22187984,"+"
"49","ENSG00000035862","ENSG00000035862.7",TRUE,"chr17",75921469,76921469,77921469,"-"
"50","ENSG00000037042","ENSG00000037042.7",TRUE,"chr17",39811302,40811302,41811302,"+"
"51","ENSG00000040531","ENSG00000040531.10",TRUE,"chr17",2539753,3539753,4539753,"+"
"52","ENSG00000040633","ENSG00000040633.7",TRUE,"chr17",6143041,7143041,8143041,"-"
"53","ENSG00000055483","ENSG00000055483.10",TRUE,"chr17",75837523,76837523,77837523,"-"
"54","ENSG00000062716","ENSG00000062716.4",TRUE,"chr17",56784553,57784553,58784553,"+"
"55","ENSG00000062725","ENSG00000062725.4",TRUE,"chr17",57603603,58603603,59603603,"-"
"56","ENSG00000063015","ENSG00000063015.12",TRUE,"chr17",26333458,27333458,28333458,"-"
"57","ENSG00000064300","ENSG00000064300.4",TRUE,"chr17",46572655,47572655,48572655,"+"
"58","ENSG00000065320","ENSG00000065320.4",TRUE,"chr17",7924827,8924827,9924827,"+"
"59","ENSG00000065559","ENSG00000065559.7",TRUE,"chr17",10924146,11924146,12924146,"+"
"60","ENSG00000067191","ENSG00000067191.10",TRUE,"chr17",36353956,37353956,38353956,"-"
"61","ENSG00000067596","ENSG00000067596.4",TRUE,"chr17",40561233,41561233,42561233,"+"
