GENE_ID	GEUVADIS	IN_GENCODE	CHR	LEFT	TSS	RIGHT	DIRECTION
ENSG00000000457	ENSG00000000457.8	TRUE	chr1	168863408	169863408	170863408	-
ENSG00000000460	ENSG00000000460.11	TRUE	chr1	168631245	169631245	170631245	+
ENSG00000000938	ENSG00000000938.7	TRUE	chr1	26961696	27961696	28961696	-
ENSG00000001460	ENSG00000001460.12	TRUE	chr1	23743424	24743424	25743424	-
ENSG00000001461	ENSG00000001461.11	TRUE	chr1	23742292	24742292	25742292	+
ENSG00000004455	ENSG00000004455.11	TRUE	chr1	32546597	33546597	34546597	-
ENSG00000004487	ENSG00000004487.10	TRUE	chr1	22345936	23345936	24345936	+
ENSG00000006555	ENSG00000006555.6	TRUE	chr1	54266996	55266996	56266996	-
ENSG00000007341	ENSG00000007341.12	TRUE	chr1	112163447	113163447	114163447	-
ENSG00000007923	ENSG00000007923.11	TRUE	chr1	5761984	6761984	7761984	-
ENSG00000007968	ENSG00000007968.6	TRUE	chr1	22857725	23857725	24857725	-
ENSG00000008118	ENSG00000008118.5	TRUE	chr1	208757059	209757059	210757059	+
ENSG00000008128	ENSG00000008128.15	TRUE	chr1	655796	1655796	2655796	-
ENSG00000008130	ENSG00000008130.10	TRUE	chr1	711896	1711896	2711896	-
ENSG00000009307	ENSG00000009307.11	TRUE	chr1	114301297	115301297	116301297	-
ENSG00000009724	ENSG00000009724.12	TRUE	chr1	10107296	11107296	12107296	-
ENSG00000009780	ENSG00000009780.10	TRUE	chr1	27052472	28052472	29052472	+
ENSG00000009790	ENSG00000009790.9	TRUE	chr1	208929377	209929377	210929377	+
ENSG00000010072	ENSG00000010072.10	TRUE	chr1	230472850	231472850	232472850	+
ENSG00000010165	ENSG00000010165.13	TRUE	chr1	170750800	171750800	172750800	+
ENSG00000010803	ENSG00000010803.12	TRUE	chr1	40707826	41707826	42707826	-
ENSG00000010932	ENSG00000010932.11	TRUE	chr1	170217610	171217610	172217610	+
ENSG00000011007	ENSG00000011007.7	TRUE	chr1	23069645	24069645	25069645	+
ENSG00000011009	ENSG00000011009.5	TRUE	chr1	23117635	24117635	25117635	+
ENSG00000011021	ENSG00000011021.17	TRUE	chr1	10866153	11866153	12866153	+
ENSG00000014914	ENSG00000014914.14	TRUE	chr1	148908772	149908772	150908772	-
ENSG00000020129	ENSG00000020129.10	TRUE	chr1	35023074	36023074	37023074	+
ENSG00000020633	ENSG00000020633.13	TRUE	chr1	24291612	25291612	26291612	-
ENSG00000023572	ENSG00000023572.4	TRUE	chr1	192075244	193075244	194075244	-
ENSG00000023902	ENSG00000023902.8	TRUE	chr1	149121373	150121373	151121373	+
ENSG00000023909	ENSG00000023909.5	TRUE	chr1	93375012	94375012	95375012	-
ENSG00000024526	ENSG00000024526.11	TRUE	chr1	67962904	68962904	69962904	-
ENSG00000025800	ENSG00000025800.8	TRUE	chr1	31573657	32573657	33573657	+
ENSG00000026751	ENSG00000026751.11	TRUE	chr1	159708847	160708847	161708847	+
ENSG00000027869	ENSG00000027869.7	TRUE	chr1	155786640	156786640	157786640	-
ENSG00000028137	ENSG00000028137.11	TRUE	chr1	11227048	12227048	13227048	+
ENSG00000031698	ENSG00000031698.8	TRUE	chr1	108756540	109756540	110756540	+
ENSG00000035687	ENSG00000035687.8	TRUE	chr1	243615211	244615211	245615211	-
ENSG00000036549	ENSG00000036549.8	TRUE	chr1	77149104	78149104	79149104	-
ENSG00000037637	ENSG00000037637.6	TRUE	chr1	15678975	16678975	17678975	-
ENSG00000040487	ENSG00000040487.8	TRUE	chr1	18638820	19638820	20638820	+
ENSG00000041988	ENSG00000041988.10	TRUE	chr1	5684926	6684926	7684926	+
ENSG00000042781	ENSG00000042781.8	TRUE	chr1	215596790	216596790	217596790	-
ENSG00000043514	ENSG00000043514.9	TRUE	chr1	39349183	40349183	41349183	-
ENSG00000047410	ENSG00000047410.7	TRUE	chr1	185344825	186344825	187344825	-
ENSG00000048707	ENSG00000048707.8	TRUE	chr1	11290087	12290087	13290087	+
