ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,1,NA,224645.5,0.713,0.28,0.564,0.9377162162162163,0.8506166666666667
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,2,NA,712247.5,0.9992,0.0012,0.0024,1,0.8506166666666667
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,3,NA,1085418,0.8972,0.0988,0.2016,0.9408091162790698,0.8506166666666667
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,1,NA,250033.5,0.5552,0.452,0.9136,0.9377162162162163,0.8506166666666667
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,2,NA,817448,0.8302,0.1702,0.362,0.9377162162162163,0.8506166666666667
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,3,NA,1245432,0.3908,0.6122,0.7996,0.9377162162162163,0.8625344139650872
Enhancer,Slice Stability,Jonckheere-Terpstra Test,1,NA,261128.5,2e-4,0.9994,4e-4,0.22540000000000002,1
Enhancer,Slice Stability,Jonckheere-Terpstra Test,2,NA,829384,0.325,0.668,0.6692,0.9377162162162163,0.8828386869871044
Enhancer,Slice Stability,Jonckheere-Terpstra Test,3,NA,1238792,0.6276,0.3804,0.7616,0.9377162162162163,0.8506166666666667
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,1,NA,248095.5,0.8918,0.1008,0.188,0.9408091162790698,0.8506166666666667
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,2,NA,821817,0.7974,0.2092,0.4088,0.9377162162162163,0.8506166666666667
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,3,NA,1239266,0.6518,0.3362,0.6676,0.9377162162162163,0.8506166666666667
Promoter Flanking Region,Slice Stability,Jonckheere-Terpstra Test,1,NA,254756.5,0.1918,0.8136,0.3732,0.9377162162162163,0.9105533267130089
Promoter Flanking Region,Slice Stability,Jonckheere-Terpstra Test,2,NA,826847,0.4446,0.534,0.93,0.9377162162162163,0.8506166666666667
Promoter Flanking Region,Slice Stability,Jonckheere-Terpstra Test,3,NA,1227356,0.8118,0.198,0.3876,0.9377162162162163,0.8506166666666667
Promoter,Slice Stability,Jonckheere-Terpstra Test,1,NA,250905,0.3878,0.6134,0.7868,0.9377162162162163,0.8625344139650872
Promoter,Slice Stability,Jonckheere-Terpstra Test,2,NA,817859,0.6394,0.356,0.7328,0.9377162162162163,0.8506166666666667
Promoter,Slice Stability,Jonckheere-Terpstra Test,3,NA,1244850,0.2372,0.7714,0.442,0.9377162162162163,0.8962554639175259
TF binding site,Slice Stability,Jonckheere-Terpstra Test,1,NA,249658,0.7276,0.2558,0.55,0.9377162162162163,0.8506166666666667
TF binding site,Slice Stability,Jonckheere-Terpstra Test,2,NA,830266,0.0824,0.9228,0.1488,0.9377162162162163,0.9539802378774017
TF binding site,Slice Stability,Jonckheere-Terpstra Test,3,NA,1242123,0.4846,0.5042,0.9744,0.9377162162162163,0.8506166666666667
CADD.RawScore,Slice Stability,Jonckheere-Terpstra Test,1,NA,228502,0.9692,0.0336,0.0608,0.9844497297297298,0.8506166666666667
CADD.RawScore,Slice Stability,Jonckheere-Terpstra Test,2,NA,800612.5,0.3686,0.632,0.732,0.9377162162162163,0.8727729598051157
CADD.RawScore,Slice Stability,Jonckheere-Terpstra Test,3,NA,1255334,0.0278,0.9686,0.0584,0.9377162162162163,0.9792265470852017
CADD.PHRED,Slice Stability,Jonckheere-Terpstra Test,1,NA,231271,0.9302,0.0664,0.1464,0.9582590493601463,0.8506166666666667
CADD.PHRED,Slice Stability,Jonckheere-Terpstra Test,2,NA,804340,0.2964,0.7136,0.5804,0.9377162162162163,0.8927026315789475
CADD.PHRED,Slice Stability,Jonckheere-Terpstra Test,3,NA,1242300,0.094,0.9104,0.1784,0.9377162162162163,0.9456412903225807
SIFTval,Slice Stability,Jonckheere-Terpstra Test,1,NA,0,1,0.3186,0.6868,1,0.8506166666666667
SIFTval,Slice Stability,Jonckheere-Terpstra Test,2,NA,NA,NA,NA,NA,NA,NA
SIFTval,Slice Stability,Jonckheere-Terpstra Test,3,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Slice Stability,Jonckheere-Terpstra Test,1,NA,2,0.3312,1,0.6744,0.9377162162162163,1
PolyPhenVal,Slice Stability,Jonckheere-Terpstra Test,2,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Slice Stability,Jonckheere-Terpstra Test,3,NA,NA,NA,NA,NA,NA,NA
priPhyloP,Slice Stability,Jonckheere-Terpstra Test,1,NA,228230,0.955,0.0424,0.0884,0.9748958333333332,0.8506166666666667
priPhyloP,Slice Stability,Jonckheere-Terpstra Test,2,NA,782467,0.7216,0.2766,0.5452,0.9377162162162163,0.8506166666666667
priPhyloP,Slice Stability,Jonckheere-Terpstra Test,3,NA,1225750,0.2008,0.7928,0.4112,0.9377162162162163,0.9043376518218622
mamPhyloP,Slice Stability,Jonckheere-Terpstra Test,1,NA,224130,0.9908,0.0116,0.0192,0.9934444839857651,0.8506166666666667
mamPhyloP,Slice Stability,Jonckheere-Terpstra Test,2,NA,802059.5,0.2752,0.7236,0.5276,0.9377162162162163,0.8927425025853154
mamPhyloP,Slice Stability,Jonckheere-Terpstra Test,3,NA,1252186,0.0238,0.9768,0.0516,0.9377162162162163,0.9846633273703042
verPhyloP,Slice Stability,Jonckheere-Terpstra Test,1,NA,223798.5,0.9906,0.0074,0.0168,0.9934444839857651,0.8506166666666667
