ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2055890,0.925444214,0.07455941,0.14911882,1,0.58856616
Absolute Distance to TSS,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2390888,0.408252641,0.591756019,0.81650528,1,0.8949241741755318
Absolute Distance to TSS,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2138942,0.809093949,0.190912224,0.38182445,1,0.6948101930031949
CTCF Binding Site,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2218039,0.2500334,0.749983024,0.50006683,1,0.9163496890355988
CTCF Binding Site,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2489434,0.5085511,0.49146628,0.98293256,1,0.8933276467741936
CTCF Binding Site,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2303800,0.1239622,0.876046591,0.24792446,1,0.9425287408745248
Enhancer,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2202788,0.5181052,0.481917698,0.9638354,1,0.8933276467741936
Enhancer,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2465676,0.86853049,0.131479352,0.2629587,1,0.6274394392911392
Enhancer,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2224328,0.99341164,0.006589231,0.01317846,1,0.4802892306521739
Open chromatin,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2191888,0.8902246,0.109793019,0.219586037,1,0.6208795224450001
Open chromatin,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2496204,0.3161261,0.68390098,0.632252287,1,0.914554893622393
Open chromatin,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2270298,0.7002209,0.299806304,0.599612608,1,0.790255102
Promoter Flanking Region,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2220588,0.26957577,0.73043616,0.53915153,1,0.914554893622393
Promoter Flanking Region,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2474458,0.6582284,0.34178269,0.68356538,1,0.8242136937953091
Promoter Flanking Region,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2246150,0.80984457,0.19016376,0.38032752,1,0.6948101930031949
Promoter,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2168904,0.9009679,0.09903958,0.19807916,1,0.5926654231746032
Promoter,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2414047,0.9940272,0.00597349,0.01194698,1,0.4802892306521739
Promoter,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2286218,0.2349296,0.76508286,0.46985928,1,0.9203966441194968
TF binding site,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2201386,0.62995503,0.37010211,0.74020421,1,0.8507835089634146
TF binding site,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2505350,0.01889327,0.98111224,0.03778653,1,0.9828502599114259
TF binding site,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2275452,0.46416598,0.53588497,0.92833195,1,0.8933276467741936
CADD.RawScore,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2143800,0.90178148,0.09822284,0.1964457,1,0.5924008951595744
CADD.RawScore,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2414342,0.92041492,0.07958827,0.1591765,1,0.58856616
CADD.RawScore,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2245244,0.65946362,0.34054443,0.6810889,1,0.8229823725
CADD.PHRED,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2143858,0.90153274,0.09847159,0.1969432,1,0.5924008951595744
CADD.PHRED,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2413812,0.92209609,0.07790705,0.1558141,1,0.58856616
CADD.PHRED,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2254344,0.58365411,0.41635445,0.8327089,1,0.87690294776536315
SIFTval,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,7,0.555555556,0.55555556,1,1,0.8933276467741936
SIFTval,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,10,0.142857143,0.92857143,0.28571429,1,0.9610786427813357
SIFTval,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,0,1,0.06666667,0.13333333,1,0.58856616
PolyPhenVal,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,4,0.8333333,0.25,0.5,1,0.7746575342465754
PolyPhenVal,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2,0.9285714,0.1428571429,0.2857142857,1,0.643120751764706
PolyPhenVal,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,3,0.7333333,0.4,0.8,1,0.8683301343570058
priPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2130058,0.91942,0.08058373,0.16116745,1,0.58856616
priPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2459726,0.5714209,0.42858758,0.85717515,1,0.8844421837364622
priPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,2150204,0.9856897,0.01431106,0.02862211,1,0.4802892306521739
mamPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,2113315,0.9656416,0.034360307,0.068720613,1,0.5139497013253013
