ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,1,NA,3456464,0.9716,0.028,0.0556,0.9776508896797154,0.9686756756756756
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,2,NA,4296094,1,2e-4,4e-4,1,0.07540000000000001
Absolute Distance to TSS,Slice Stability,Jonckheere-Terpstra Test,3,NA,4430370,1,2e-4,4e-4,1,0.07540000000000001
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,1,NA,3723788,0.2898,0.715,0.5596,0.757850593824228,0.9686756756756756
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,2,NA,4764836,0.3278,0.6776,0.6588,0.757850593824228,0.9686756756756756
CTCF Binding Site,Slice Stability,Jonckheere-Terpstra Test,3,NA,5003492,0.6152,0.3866,0.7576,0.76554332247557,0.9686756756756756
Enhancer,Slice Stability,Jonckheere-Terpstra Test,1,NA,3690026,0.8256,0.1828,0.338,0.8686079999999999,0.9686756756756756
Enhancer,Slice Stability,Jonckheere-Terpstra Test,2,NA,4774624,0.211,0.7872,0.4012,0.757850593824228,0.9686756756756756
Enhancer,Slice Stability,Jonckheere-Terpstra Test,3,NA,4995680,0.7206,0.271,0.5568,0.8097466798810705,0.9686756756756756
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,1,NA,3711222,0.49,0.5152,0.9848,0.757850593824228,0.9686756756756756
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,2,NA,4759664,0.3284,0.6682,0.6472,0.757850593824228,0.9686756756756756
Open chromatin,Slice Stability,Jonckheere-Terpstra Test,3,NA,5012184,0.5068,0.4846,0.9656,0.757850593824228,0.9686756756756756
Promoter Flanking Region,Slice Stability,Jonckheere-Terpstra Test,1,NA,3778854,0.0156,0.9848,0.0308,0.757850593824228,0.9891730017761988
