ANNOTATION,MEDIATOR,TEST,POTENTIAL_SET,TYPE,TEST_STAT,GREATER,LESS,TWO_SIDED,GREATER.ADJ,LESS.ADJ
Absolute Distance to TSS,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,73683.5,0.05980693,0.9402302,0.1196139,1,0.9768782532249323
Absolute Distance to TSS,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,168911,0.96834001,0.03166948,0.06333897,1,0.7192128420895523
Absolute Distance to TSS,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,272320.5,0.20632829,0.7936998,0.4126566,1,0.9768782532249323
CTCF Binding Site,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,72857,0.65236904,0.347868652,0.695737304,1,0.7785631735238095
CTCF Binding Site,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,198799.5,0.48057285,0.519520924,0.961145705,1,0.898664535865649
CTCF Binding Site,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,292994,0.04476739,0.955249336,0.08953478,1,0.9768782532249323
Enhancer,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,75055,0.1579769,0.84217531,0.31595383,1,0.9768782532249323
Enhancer,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,200985.5,0.2785134,0.72156898,0.55702682,1,0.9736038958030481
Enhancer,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,281210.5,0.6579998,0.34206801,0.68413601,1,0.7748046491566265
Open chromatin,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,72458,0.8884512,0.11177855,0.22355709000000001,1,0.7192128420895523
Open chromatin,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,193597.5,0.9681261,0.03190042,0.06380085,1,0.7192128420895523
Open chromatin,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,280396.5,0.8360521,0.16402808,0.32805617,1,0.7192128420895523
Promoter Flanking Region,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,75135.5,0.23910509,0.76102667,0.47821019,1,0.9768782532249323
Promoter Flanking Region,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,201649.5,0.30231586,0.69774323,0.60463172,1,0.9736038958030481
Promoter Flanking Region,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,273198,0.90037401,0.09964799,0.19929598,1,0.7192128420895523
Promoter,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,72255.5,0.6875717426,0.3126187,0.6252374083,1,0.7601498039746301
Promoter,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,192722,0.8624469224,0.13760326,0.2752065193,1,0.7192128420895523
Promoter,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,302731.5,1.841113e-4,0.99981601,3.682226e-4,0.2076775464,0.99981601
TF binding site,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,72807,0.79329099,0.2070636,0.41412713,1,0.7260798406903554
TF binding site,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,201721.5,0.01283184,0.9871917,0.02566369,1,0.9915870325912733
TF binding site,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,285651,0.13749648,0.8626108,0.27499295,1,0.9768782532249323
CADD.RawScore,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,63224,0.9730098,0.02700934,0.05401867,1,0.7192128420895523
CADD.RawScore,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,192353,0.3987003,0.60134921,0.79740054,1,0.9368824932413792
CADD.RawScore,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,287896,0.1109748,0.88904313,0.22194961,1,0.9768782532249323
CADD.PHRED,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,63326.5,0.9709898,0.02903046,0.05806092,1,0.7192128420895523
CADD.PHRED,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,192728.5,0.3802401,0.61980877,0.7604801,1,0.9447895845405405
CADD.PHRED,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,285170.5,0.1677732,0.83225054,0.33554648,1,0.9768782532249323
SIFTval,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,0,1,0.3333333,0.6666667,1,0.7699949916734695
SIFTval,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,1,0.75,0.5,1,1,0.8744534158513931
SIFTval,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,NA,NA,NA,NA,NA,NA
PolyPhenVal,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,0,1,0.33333333,0.6666667,1,0.7699949916734695
PolyPhenVal,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,2,0.5,0.75,1,1,0.9768782532249323
PolyPhenVal,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,NA,NA,NA,NA,NA,NA
priPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,61713.5,0.98889063,0.01111837,0.02223673,1,0.6253841485714285
priPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,179021.5,0.91255707,0.08746338,0.17492677,1,0.7192128420895523
priPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,271237.5,0.62634873,0.37368723,0.74737445,1,0.7933050771428571
mamPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,63179,0.96678538,0.03323741,0.06647482,1,0.7192128420895523
mamPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,191518,0.40067395,0.59937579,0.80134791,1,0.9368824932413792
mamPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,285275.5,0.15618764,0.84383509,0.31237528,1,0.9768782532249323
verPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,63586,0.95638971,0.04363874,0.08727749,1,0.7192128420895523
verPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,189614.5,0.497355867,0.50269547,0.99471173,1,0.8764149770633693
verPhyloP,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,287959,0.102942717,0.8970743,0.20588543,1,0.9768782532249323
GerpN,Stable SNV Discovered in YRI,Wilcoxon Test,1,NA,75102,0.042949845,0.957078157,0.085899691,1,0.9768782532249323
GerpN,Stable SNV Discovered in YRI,Wilcoxon Test,2,NA,212571.5,0.002195281,0.997805604,0.004390561,1,0.9986909683336291
GerpN,Stable SNV Discovered in YRI,Wilcoxon Test,3,NA,281208.5,0.278456706,0.721575117,0.556913412,1,0.9736038958030481
